,Unnamed: 0,label,text-neigh,label_num,text-rel,text-neigh-processed,text-rel-processed,text-neigh-tokens,text-rel-tokens
12,12,command_and_control,"Once injected, the module initiates polling from one of",1,the module initiates from polling one of the hard-coded C&C servers,onc inject modul initi poll one,modul initi poll one hard-cod c&c server,"['onc', 'inject', 'modul', 'initi', 'poll', 'one']","['modul', 'initi', 'poll', 'one', 'hard-cod', 'c&c', 'server']"
13,13,command_and_control,the C&C servers it relies on are hard-coded in the,1,it The domain names of the C&C servers relies on,c&c server reli hard-cod,domain name c&c server reli,"['c&c', 'server', 'reli', 'hard-cod']","['domain', 'name', 'c&c', 'server', 'reli']"
14,14,command_and_control,"above, the malware first resolves the domain name of",1,the malware resolves the domain name of its C&C,abov malwar first resolv domain name,malwar resolv domain name c&c,"['abov', 'malwar', 'first', 'resolv', 'domain', 'name']","['malwar', 'resolv', 'domain', 'name', 'c&c']"
15,15,command_and_control,"its C&C. Next, it fetches a file /D/pub.txt, and",1,it fetches a file /D/pub.txt,c&c. next fetch file system-path  txt-file,fetch file system-path  txt-file,"['c&c.', 'next', 'fetch', 'file', 'system-path', 'txt-file']","['fetch', 'file', 'system-path', 'txt-file']"
16,16,command_and_control,"a file /D/pub.txt, and expects the server to respond",1,"it expects the server to respond with a string 1, acknowledging it’s active",file system-path  expect server respond txt-file,expect server respond string acknowledg activ,"['file', 'system-path', 'expect', 'server', 'respond', 'txt-file']","['expect', 'server', 'respond', 'string', 'acknowledg', 'activ']"
17,17,command_and_control,"command(s) Once acknowledged, it asks the server for a",1,it asks the server for a command,command onc acknowledg ask server,ask server command,"['command', 'onc', 'acknowledg', 'ask', 'server']","['ask', 'server', 'command']"
18,18,command_and_control,"command, and the server returns a new command to",1,the server returns a new command to execute,command server return new command,server return new command execut,"['command', 'server', 'return', 'new', 'command']","['server', 'return', 'new', 'command', 'execut']"
19,19,command_and_control,2014 The command it receives from C&C above (swim.onlinewebshop.net),1,it C&C The command receives from, command receiv c&c abov,c&c command receiv,"['command', 'receiv', 'c&c', 'abov']","['c&c', 'command', 'receiv']"
20,20,command_and_control,"by Agent.BTZ. Next, it calculates and confirms a CRC32 checksum within",1,it calculates and confirms a CRC32 checksum within the command, btz-file next calcul confirm crc32 checksum within,calcul confirm crc32 checksum within command,"['btz-file', 'next', 'calcul', 'confirm', 'crc32', 'checksum', 'within']","['calcul', 'confirm', 'crc32', 'checksum', 'within', 'command']"
21,21,command_and_control,"encrypted. In order to decrypt it, the malware first",1,the malware decrypt it,encrypted. order decrypt malwar first,malwar decrypt,"['encrypted.', 'order', 'decrypt', 'malwar', 'first']","['malwar', 'decrypt']"
22,22,command_and_control,"it, the malware first applies the XOR mask to",1,the malware applies the XOR mask to the bytes that start from offset 0x40,malwar first appli xor mask,malwar appli xor mask byte start offset 0x40,"['malwar', 'first', 'appli', 'xor', 'mask']","['malwar', 'appli', 'xor', 'mask', 'byte', 'start', 'offset', '0x40']"
23,23,command_and_control,"within the command, further decrypts the data by using",1,it decrypts the data by using the Number Theory Library (NTL),within command decrypt data use,decrypt data use number theori librari ntl,"['within', 'command', 'decrypt', 'data', 'use']","['decrypt', 'data', 'use', 'number', 'theori', 'librari', 'ntl']"
24,24,command_and_control,"Theory Library (NTL), and makes sure the command is destined",1,it makes sure the command is destined to the current host by matching the ID field in it,theori librari ntl make sure command destin,make sure command destin current host match id field,"['theori', 'librari', 'ntl', 'make', 'sure', 'command', 'destin']","['make', 'sure', 'command', 'destin', 'current', 'host', 'match', 'id', 'field']"
25,25,command_and_control,"Once decrypted, the malware interprets the received command, as",1,the malware interprets the received command,onc decrypt malwar interpret receiv command,malwar interpret receiv command,"['onc', 'decrypt', 'malwar', 'interpret', 'receiv', 'command']","['malwar', 'interpret', 'receiv', 'command']"
26,26,command_and_control,"After that, the malware connects to the new C&C,",1,the malware connects to the new C&C,malwar connect new c&c,malwar connect new c&c,"['malwar', 'connect', 'new', 'c&c']","['malwar', 'connect', 'new', 'c&c']"
27,27,command_and_control,"to the new C&C, asking it for another command:",1,the malware asking for another command,new c&c ask anoth command:,malwar ask anoth command,"['new', 'c&c', 'ask', 'anoth', 'command:']","['malwar', 'ask', 'anoth', 'command']"
28,28,command_and_control,"2014 The command it receives is called UpLoad, so",1,it The command receives, command receiv call upload,command receiv,"['command', 'receiv', 'call', 'upload']","['command', 'receiv']"
29,29,command_and_control,"called UpLoad, so it uploads all the collected logs",1,it uploads all the collected logs to the server,call upload upload collect log,upload collect log server,"['call', 'upload', 'upload', 'collect', 'log']","['upload', 'collect', 'log', 'server']"
30,30,command_and_control,Status:200 The files it uploads are stored inside its,1,it The files uploads,status:200 file upload store insid,file upload,"['status:200', 'file', 'upload', 'store', 'insid']","['file', 'upload']"
31,31,command_and_control,sample reveals that it supports 3 modes of fetching,1,it supports 3 modes of fetching C&C commands,sampl reveal support mode fetch,support mode fetch c&c command,"['sampl', 'reveal', 'support', 'mode', 'fetch']","['support', 'mode', 'fetch', 'c&c', 'command']"
32,32,command_and_control,"the first mode, it relies on Windows Internet (WinINet) APIs,",1,"it Windows Internet (WinINet) APIs, such as HttpOpenRequest(), HttpSendRequest(), InternetReadFile(), etc relies on",first mode reli window internet wininet api,window internet wininet api httpopenrequest httpsendrequest internetreadfil etc reli,"['first', 'mode', 'reli', 'window', 'internet', 'wininet', 'api']","['window', 'internet', 'wininet', 'api', 'httpopenrequest', 'httpsendrequest', 'internetreadfil', 'etc', 'reli']"
33,33,command_and_control,"the second mode, it uses Windows Sockets 2 (Winsock)",1,"it Windows Sockets 2 (Winsock) APIs, such as WSAStartup(), socket(), connect(), send(), etc uses",second mode use window socket winsock,window socket winsock api wsastartup socket connect send etc use,"['second', 'mode', 'use', 'window', 'socket', 'winsock']","['window', 'socket', 'winsock', 'api', 'wsastartup', 'socket', 'connect', 'send', 'etc', 'use']"
34,34,command_and_control,"the third mode, it works in the ‘pipe server’",1,it works in the ‘pipe server’ mode,third mode work ‘pipe server,work ‘pipe server mode,"['third', 'mode', 'work', '‘pipe', 'server']","['work', '‘pipe', 'server', 'mode']"
35,35,command_and_control,"server’ mode, when it passes the web requests it",1,it passes the web requests it is interested in (as a client) to the pipe server that runs within Windows Explorer (explorer.exe) and/or Internet Explorer (iexplore.exe) processes,server mode pass web request,pass web request interest client pipe server run within window explor explorer.ex system-path  internet explor iexplore.ex process,"['server', 'mode', 'pass', 'web', 'request']","['pass', 'web', 'request', 'interest', 'client', 'pipe', 'server', 'run', 'within', 'window', 'explor', 'explorer.ex', 'system-path', 'internet', 'explor', 'iexplore.ex', 'process']"
36,36,command_and_control,"mode, the DLL may start communicating with C&C directly.",1,the DLL start communicating with C&C directly,mode dll may start commun c&c directly.,dll start commun c&c directli,"['mode', 'dll', 'may', 'start', 'commun', 'c&c', 'directly.']","['dll', 'start', 'commun', 'c&c', 'directli']"
37,37,command_and_control,the injected DLL will start communicating with the pipe,1,the injected DLL start communicating with the pipe server,inject dll start commun pipe,inject dll start commun pipe server,"['inject', 'dll', 'start', 'commun', 'pipe']","['inject', 'dll', 'start', 'commun', 'pipe', 'server']"
38,38,command_and_control,the pipe server by sending messages into the established,1,the injected DLL sending messages into the established inter-process communication pipes,pipe server send messag establish,inject dll send messag establish inter-process commun pipe,"['pipe', 'server', 'send', 'messag', 'establish']","['inject', 'dll', 'send', 'messag', 'establish', 'inter-process', 'commun', 'pipe']"
39,39,command_and_control,"of communication with C&C is delegated to the pipe server,",1,is delegated the task of communication with C&C to the pipe server,commun c&c deleg pipe server,deleg task commun c&c pipe server,"['commun', 'c&c', 'deleg', 'pipe', 'server']","['deleg', 'task', 'commun', 'c&c', 'pipe', 'server']"
40,40,command_and_control,"pipe server, it will start communicating with the C&C,",1,it start communicating with the C&C,pipe server start commun c&c,start commun c&c,"['pipe', 'server', 'start', 'commun', 'c&c']","['start', 'commun', 'c&c']"
41,41,command_and_control,the pipe server to perform other operations on their,1,the pipe server GET perform,pipe server perform oper,pipe server get perform,"['pipe', 'server', 'perform', 'oper']","['pipe', 'server', 'get', 'perform']"
42,42,command_and_control,the pipe server to perform other operations on their,1,the pipe server POST requests perform,pipe server perform oper,pipe server post request perform,"['pipe', 'server', 'perform', 'oper']","['pipe', 'server', 'post', 'request', 'perform']"
43,43,command_and_control,"of tasks, the clients send messages to the pipe",1,the clients send messages to using the pipe server the following task identification headers,task client send messag pipe,client send messag use pipe server follow task identif header,"['task', 'client', 'send', 'messag', 'pipe']","['client', 'send', 'messag', 'use', 'pipe', 'server', 'follow', 'task', 'identif', 'header']"
44,44,command_and_control,set of domain names are hard-coded within the body of,1,are hard-coded the initial set of domain names within the body of the DLL,set domain name hard-cod within bodi,hard-cod initi set domain name within bodi dll,"['set', 'domain', 'name', 'hard-cod', 'within', 'bodi']","['hard-cod', 'initi', 'set', 'domain', 'name', 'within', 'bodi', 'dll']"
45,45,command_and_control,system. The ability to update the driver and then,1,update the driver,system. abil updat driver,updat driver,"['system.', 'abil', 'updat', 'driver']","['updat', 'driver']"
46,46,command_and_control,the driver and then rely on its communication capabilities means,1,rely on its communication capabilities,driver reli commun capabl mean,reli commun capabl,"['driver', 'reli', 'commun', 'capabl', 'mean']","['reli', 'commun', 'capabl']"
47,47,command_and_control,where the kernel-mode driver is responsible for the communications.,1,the kernel-mode driver is responsible for the communications,kernel-mod driver respons communications.,kernel-mod driver respons commun,"['kernel-mod', 'driver', 'respons', 'communications.']","['kernel-mod', 'driver', 'respons', 'commun']"
48,48,command_and_control,a kernel-mode driver to carry out the network communications. The,1,a kernel-mode driver carry out the network communications,kernel-mod driver carri network communications.,kernel-mod driver carri network commun,"['kernel-mod', 'driver', 'carri', 'network', 'communications.']","['kernel-mod', 'driver', 'carri', 'network', 'commun']"
49,49,command_and_control,"FwpsCopyStreamDataToBuffer0() API, and then scanned for the presence of",1,scanned for it the presence of the hidden commands from C&C,api scan presenc,scan presenc hidden command c&c,"['api', 'scan', 'presenc']","['scan', 'presenc', 'hidden', 'command', 'c&c']"
50,50,command_and_control,allowing Snake to covertly insert traffic destined to its,1,Snake insert traffic destined to its C&C servers,allow snake covertli insert traffic destin,snake insert traffic destin c&c server,"['allow', 'snake', 'covertli', 'insert', 'traffic', 'destin']","['snake', 'insert', 'traffic', 'destin', 'c&c', 'server']"
51,51,command_and_control,"now inspect the traffic, looking for and then parsing GET/POST HTTP requests and",1,it GET/POST HTTP requests and also SMTP communications looking for and then parsing,inspect traffic look pars system-path  http request,system-path  http request also smtp commun look pars,"['inspect', 'traffic', 'look', 'pars', 'system-path', 'http', 'request']","['system-path', 'http', 'request', 'also', 'smtp', 'commun', 'look', 'pars']"
52,52,command_and_control,"communications, in order to distinguish commands addressed to itself.",1,it distinguish commands addressed to itself,commun order distinguish command address itself.,distinguish command address,"['commun', 'order', 'distinguish', 'command', 'address', 'itself.']","['distinguish', 'command', 'address']"
53,53,command_and_control,API in order to generate outbound requests. Whenever the,1,it generate outbound requests,api order gener outbound requests. whenev,gener outbound request,"['api', 'order', 'gener', 'outbound', 'requests.', 'whenev']","['gener', 'outbound', 'request']"
54,54,command_and_control,module is expected to execute them and report results,1,the DLL module If execute them the data contains commands from C&C,modul expect execut report result,dll modul execut data contain command c&c,"['modul', 'expect', 'execut', 'report', 'result']","['dll', 'modul', 'execut', 'data', 'contain', 'command', 'c&c']"
55,55,command_and_control,to the driver to be delivered back to C&C. NDIS,1,the driver C&C be delivered back to,driver deliv back c&c. ndi,driver c&c deliv back,"['driver', 'deliv', 'back', 'c&c.', 'ndi']","['driver', 'c&c', 'deliv', 'back']"
56,56,command_and_control,"handler functions, it can send receive data by using",1,it send data by using a private TCP/IP stack,handler function send receiv data use,send data use privat system-path  stack,"['handler', 'function', 'send', 'receiv', 'data', 'use']","['send', 'data', 'use', 'privat', 'system-path', 'stack']"
57,57,command_and_control,"functions, it can send/ receive data by using a",1,it receive data by using a private TCP/IP stack,function system-path  receiv data use,receiv data use privat system-path  stack,"['function', 'system-path', 'receiv', 'data', 'use']","['receiv', 'data', 'use', 'privat', 'system-path', 'stack']"
58,58,command_and_control,"the underlying miniport driver receives data from the network,",1,the underlying miniport driver receives data from the network,underli miniport driver receiv data network,underli miniport driver receiv data network,"['underli', 'miniport', 'driver', 'receiv', 'data', 'network']","['underli', 'miniport', 'driver', 'receiv', 'data', 'network']"
59,59,command_and_control,"into existing communications to reach out to external components, and",1,Snake reach out to external components,exist commun reach extern compon,snake reach extern compon,"['exist', 'commun', 'reach', 'extern', 'compon']","['snake', 'reach', 'extern', 'compon']"
60,60,command_and_control,see if it can be authenticated as Snake traffic. The,1,Snake traffic be authenticated it as,see authent snake traffic.,snake traffic authent,"['see', 'authent', 'snake', 'traffic.']","['snake', 'traffic', 'authent']"
61,61,command_and_control,Snake traffic. The authentication is implemented by decrypting the data,1,The authentication is implemented,snake traffic. authent implement decrypt data,authent implement,"['snake', 'traffic.', 'authent', 'implement', 'decrypt', 'data']","['authent', 'implement']"
62,62,command_and_control,authentication is implemented by decrypting the data and making,1,decrypting the data,authent implement decrypt data make,decrypt data,"['authent', 'implement', 'decrypt', 'data', 'make']","['decrypt', 'data']"
63,63,command_and_control,decrypting the data and making sure it starts with the,1,making sure it starts with the markers 0xDEADBEAF and 0xC001BA5E (which appear to derive from ‘DEAD BEEF’ and ‘COOL BASE’),decrypt data make sure start,make sure start marker 0xdeadbeaf 0xc001ba5e appear deriv ‘dead beef ‘cool base,"['decrypt', 'data', 'make', 'sure', 'start']","['make', 'sure', 'start', 'marker', '0xdeadbeaf', '0xc001ba5e', 'appear', 'deriv', '‘dead', 'beef', '‘cool', 'base']"
64,64,command_and_control,is that the driver is acting in this mode like,1,the driver is acting in like this mode a proxy,driver act thi mode like,driver act like thi mode proxi,"['driver', 'act', 'thi', 'mode', 'like']","['driver', 'act', 'like', 'thi', 'mode', 'proxi']"
65,65,command_and_control,HTTP the driver will respond with messages like HTTP/1.1,1,the driver respond with messages like HTTP/1.1 200 OK or HTTP/1.1 500 Server Error,http driver respond messag like system-path ,driver respond messag like system-path  200 ok system-path  500 server error,"['http', 'driver', 'respond', 'messag', 'like', 'system-path']","['driver', 'respond', 'messag', 'like', 'system-path', '200', 'ok', 'system-path', '500', 'server', 'error']"
66,66,command_and_control,Once the incoming data is authenticated and decrypted the driver passes it,1,is authenticated and decrypted the incoming data,onc incom data authent decrypt driver pass,authent decrypt incom data,"['onc', 'incom', 'data', 'authent', 'decrypt', 'driver', 'pass']","['authent', 'decrypt', 'incom', 'data']"
67,67,command_and_control,inj_snake_x64.dll The rkctl_Win32.dll/rkctl_x64.dll module uses the following hard-coded named,1,The rkctl_Win32.dll/rkctl_x64.dll module uses the following hard-coded named pipe for communications,inj_snake_x64.dl modul use follow hard-cod name,modul use follow hard-cod name pipe commun,"['inj_snake_x64.dl', 'modul', 'use', 'follow', 'hard-cod', 'name']","['modul', 'use', 'follow', 'hard-cod', 'name', 'pipe', 'commun']"
68,68,command_and_control,The remote commands it receives appear to be designed,1,it The remote commands receives,remot command receiv appear design,remot command receiv,"['remot', 'command', 'receiv', 'appear', 'design']","['remot', 'command', 'receiv']"
69,69,command_and_control,to be designed to control other components of Snake:,1,The remote commands control other components of Snake,design control compon snake:,remot command control compon snake,"['design', 'control', 'compon', 'snake:']","['remot', 'command', 'control', 'compon', 'snake']"
70,70,command_and_control,that the DLL should use for its communications. The,1,the DLL use the pipe name(s) for its communications,dll use communications.,dll use pipe name commun,"['dll', 'use', 'communications.']","['dll', 'use', 'pipe', 'name', 'commun']"
71,71,command_and_control,communications. The remote commands received by this Snake DLL,1,this Snake DLL module The remote commands received,communications. remot command receiv thi snake dll,thi snake dll modul remot command receiv,"['communications.', 'remot', 'command', 'receiv', 'thi', 'snake', 'dll']","['thi', 'snake', 'dll', 'modul', 'remot', 'command', 'receiv']"
72,72,command_and_control,"write_peer_nfo • read_peer_nfo To post the data, the DLL",1,the DLL post the data,write_peer_nfo read_peer_nfo post data dll,dll post data,"['write_peer_nfo', 'read_peer_nfo', 'post', 'data', 'dll']","['dll', 'post', 'data']"
73,73,command_and_control,application/vnd.ms-powerpoint Request type it uses can either be POST,1,it uses,request type use either post,use,"['request', 'type', 'use', 'either', 'post']",['use']
74,74,command_and_control,"it uses can either be POST of GET, and",1,Request type POST be,use either post get,request type post,"['use', 'either', 'post', 'get']","['request', 'type', 'post']"
75,75,command_and_control,C&C server resource name is /default.asp. BAE Systems Applied,1,C&C server resource name is /default.asp,c&c server resourc name system-path  bae system appli asp-file,c&c server resourc name system-path  asp-file,"['c&c', 'server', 'resourc', 'name', 'system-path', 'bae', 'system', 'appli', 'asp-file']","['c&c', 'server', 'resourc', 'name', 'system-path', 'asp-file']"
76,76,command_and_control,"it uses can either be POST of GET, and",1,Request type GET be,use either post get,request type get,"['use', 'either', 'post', 'get']","['request', 'type', 'get']"
77,77,command_and_control,Theory Library) algorithm and is uploaded by the usermode-centric Snake,1,"This file is uploaded by to along with the usermode-centric Snake rootkit the C&C server other configuration files, such as mtmon.sdb, mtmon32.sdb, gstatsnd.bin, gstat.bin, gstat32.bin, and other log files found in the %windows%\$NtUninstallQrandom$ directory",theori librari algorithm upload usermode-centr snake,thi file upload along usermode-centr snake rootkit c&c server configur file  sdb-file  sdb-file  bin-file  bin-file  bin-file log file found directori,"['theori', 'librari', 'algorithm', 'upload', 'usermode-centr', 'snake']","['thi', 'file', 'upload', 'along', 'usermode-centr', 'snake', 'rootkit', 'c&c', 'server', 'configur', 'file', 'sdb-file', 'sdb-file', 'bin-file', 'bin-file', 'bin-file', 'log', 'file', 'found', 'directori']"
78,78,command_and_control,"Metasploit framework, and then deliver the generated shellcode back",1,The attacker deliver the generated shellcode back to to the reconnaissance tool be applied against the identified hosts by running the tool with the ‘exp_os’ switch,metasploit framework deliv gener shellcod back,attack deliv gener shellcod back reconnaiss tool appli identifi host run tool ‘exp_o switch,"['metasploit', 'framework', 'deliv', 'gener', 'shellcod', 'back']","['attack', 'deliv', 'gener', 'shellcod', 'back', 'reconnaiss', 'tool', 'appli', 'identifi', 'host', 'run', 'tool', '‘exp_o', 'switch']"
79,79,command_and_control,Another approach is to carry out all of the communications,1,carry out all of the communications from the kernel-mode driver,anoth approach carri commun,carri commun kernel-mod driver,"['anoth', 'approach', 'carri', 'commun']","['carri', 'commun', 'kernel-mod', 'driver']"
80,80,command_and_control,One approach is to delegate the network communication engine,1,delegate the network communication engine to usermode code,one approach deleg network commun engin,deleg network commun engin usermod code,"['one', 'approach', 'deleg', 'network', 'commun', 'engin']","['deleg', 'network', 'commun', 'engin', 'usermod', 'code']"
81,81,command_and_control,"the outside world, it only needs one host to be",1,it When only needs one host to be connected online most of the infected hosts are cut off from the outside world,outsid world onli need one host,onli need one host connect onlin infect host cut outsid world,"['outsid', 'world', 'onli', 'need', 'one', 'host']","['onli', 'need', 'one', 'host', 'connect', 'onlin', 'infect', 'host', 'cut', 'outsid', 'world']"
82,82,command_and_control,initial communications that it sends out to its command and,1,it sends out to the initial communications its command and control server,initi commun send command,send initi commun command control server,"['initi', 'commun', 'send', 'command']","['send', 'initi', 'commun', 'command', 'control', 'server']"
83,83,command_and_control,first set of commands force the malware to behave,1,The first set of commands force the malware to behave as a simple downloader,first set command forc malwar behav,first set command forc malwar behav simpl download,"['first', 'set', 'command', 'forc', 'malwar', 'behav']","['first', 'set', 'command', 'forc', 'malwar', 'behav', 'simpl', 'download']"
84,84,command_and_control,is fairly simplistic but provides the operator with access,1,The command and control structure provides the operator with access to the victim machine’s filesystem and command line,fairli simplist provid oper access,command control structur provid oper access victim machin filesystem command line,"['fairli', 'simplist', 'provid', 'oper', 'access']","['command', 'control', 'structur', 'provid', 'oper', 'access', 'victim', 'machin', 'filesystem', 'command', 'line']"
85,85,command_and_control,various tasks such as executing arbitrary commands or uploading,1,executing arbitrary commands,variou task execut arbitrari command upload,execut arbitrari command,"['variou', 'task', 'execut', 'arbitrari', 'command', 'upload']","['execut', 'arbitrari', 'command']"
86,86,command_and_control,executing arbitrary commands or uploading and downloading files from,1,uploading files from the compromised system,execut arbitrari command upload download file,upload file compromis system,"['execut', 'arbitrari', 'command', 'upload', 'download', 'file']","['upload', 'file', 'compromis', 'system']"
87,87,command_and_control,commands or uploading and downloading files from the compromised,1,downloading files from the compromised system,command upload download file compromis,download file compromis system,"['command', 'upload', 'download', 'file', 'compromis']","['download', 'file', 'compromis', 'system']"
88,88,command_and_control,"message is received, OrcaRAT sends an HTTP POST message",1,OrcaRAT sends an HTTP POST message to the command and control server,messag receiv orcarat send http post messag,orcarat send http post messag command control server,"['messag', 'receiv', 'orcarat', 'send', 'http', 'post', 'messag']","['orcarat', 'send', 'http', 'post', 'messag', 'command', 'control', 'server']"
89,89,command_and_control,the employed Korplug samples were connecting to the same C&C,1,the employed Korplug samples were connecting to the same C&C domain,employ korplug sampl connect c&c,employ korplug sampl connect c&c domain,"['employ', 'korplug', 'sampl', 'connect', 'c&c']","['employ', 'korplug', 'sampl', 'connect', 'c&c', 'domain']"
90,90,command_and_control,Email:stanlee@gmail.com Other Korplug samples were connecting to a different domain,1,Other Korplug samples were connecting to a different domain name resolving to the same IPs as notebookhk.net,korplug sampl connect differ domain,korplug sampl connect differ domain name resolv ip  net-file,"['korplug', 'sampl', 'connect', 'differ', 'domain']","['korplug', 'sampl', 'connect', 'differ', 'domain', 'name', 'resolv', 'ip', 'net-file']"
91,91,command_and_control,of these ‘alternative RATs’ was connecting to a domain also,1,One of these ‘alternative RATs’ was connecting to a domain also used by the Korplug samples,‘altern rat wa connect domain also,one ‘altern rat wa connect domain also use korplug sampl,"['‘altern', 'rat', 'wa', 'connect', 'domain', 'also']","['one', '‘altern', 'rat', 'wa', 'connect', 'domain', 'also', 'use', 'korplug', 'sampl']"
92,92,command_and_control,"on the infected machine, transfer files to and from",1,The malware transfer to files the C&C server,infect machin transfer file,malwar transfer file c&c server,"['infect', 'machin', 'transfer', 'file']","['malwar', 'transfer', 'file', 'c&c', 'server']"
93,93,command_and_control,"on the infected machine, transfer files to and from",1,The malware transfer from files the C&C server,infect machin transfer file,malwar transfer file c&c server,"['infect', 'machin', 'transfer', 'file']","['malwar', 'transfer', 'file', 'c&c', 'server']"
94,94,command_and_control,written in Delphi and connects to www.dicemention.com. Some samples,1,It connects to www.dicemention.com,written delphi connect  com-file sampl,connect  com-file,"['written', 'delphi', 'connect', 'com-file', 'sampl']","['connect', 'com-file']"
95,95,command_and_control,"Furthermore, the attackers also shared a C&C domain. The",1,the attackers shared a C&C domain,furthermor attack also share c&c domain.,attack share c&c domain,"['furthermor', 'attack', 'also', 'share', 'c&c', 'domain.']","['attack', 'share', 'c&c', 'domain']"
96,96,command_and_control,command and control server is performed by the browser process,1,the browser process ComRAT’s communication to the command and control server is performed,command control server perform browser process,browser process comrat commun command control server perform,"['command', 'control', 'server', 'perform', 'browser', 'process']","['browser', 'process', 'comrat', 'commun', 'command', 'control', 'server', 'perform']"
97,97,command_and_control,"and control server information is stored in the registry, not",1,The command and control server information is stored in the registry,control server inform store registri,command control server inform store registri,"['control', 'server', 'inform', 'store', 'registri']","['command', 'control', 'server', 'inform', 'store', 'registri']"
98,98,command_and_control,the XML log file contains the command and control,1,the XML log file contains the command and control server information,xml log file contain command control,xml log file contain command control server inform,"['xml', 'log', 'file', 'contain', 'command', 'control']","['xml', 'log', 'file', 'contain', 'command', 'control', 'server', 'inform']"
99,99,command_and_control,and control server domains are shared between Uroburos and ComRAT.,1,Uroburos and ComRAT Command and control server domains are shared between,control server domain share uroburo comrat.,uroburo comrat command control server domain share,"['control', 'server', 'domain', 'share', 'uroburo', 'comrat.']","['uroburo', 'comrat', 'command', 'control', 'server', 'domain', 'share']"
100,100,command_and_control,traffic and the malware communicates to the browser by,1,the malware communicates to by the browser named pipe,traffic malwar commun browser,malwar commun browser name pipe,"['traffic', 'malwar', 'commun', 'browser']","['malwar', 'commun', 'browser', 'name', 'pipe']"
101,101,command_and_control,analysis the backdoor will look for encrypted commands within HTML,1,the backdoor HTML comments returned from the C2 look for encrypted commands within,analysi backdoor look encrypt command within html,backdoor html comment return c2 look encrypt command within,"['analysi', 'backdoor', 'look', 'encrypt', 'command', 'within', 'html']","['backdoor', 'html', 'comment', 'return', 'c2', 'look', 'encrypt', 'command', 'within']"
