,Unnamed: 0,label,text-neigh,label_num,text-rel,token,text-neigh-processed,text-rel-processed,text-neigh-tokens,text-rel-tokens
18,18,Capability,"command, and the server returns a new command to",1,the server returns a new command to execute,targeting,command server return new command,server return new command execut,"['command', 'server', 'return', 'new', 'command']","['server', 'return', 'new', 'command', 'execut']"
19,19,Capability,2014 The command it receives from C&C above (swim.onlinewebshop.net),1,it C&C The command receives from,Attached, command receiv c&c abov,c&c command receiv,"['command', 'receiv', 'c&c', 'abov']","['c&c', 'command', 'receiv']"
20,20,Capability,"by Agent.BTZ. Next, it calculates and confirms a CRC32 checksum within",1,it calculates and confirms a CRC32 checksum within the command,dropped, btz-file next calcul confirm crc32 checksum within,calcul confirm crc32 checksum within command,"['btz-file', 'next', 'calcul', 'confirm', 'crc32', 'checksum', 'within']","['calcul', 'confirm', 'crc32', 'checksum', 'within', 'command']"
21,21,Capability,"encrypted. In order to decrypt it, the malware first",1,the malware decrypt it,communicates,encrypted. order decrypt malwar first,malwar decrypt,"['encrypted.', 'order', 'decrypt', 'malwar', 'first']","['malwar', 'decrypt']"
22,22,Capability,"it, the malware first applies the XOR mask to",1,the malware applies the XOR mask to the bytes that start from offset 0x40,encodes,malwar first appli xor mask,malwar appli xor mask byte start offset 0x40,"['malwar', 'first', 'appli', 'xor', 'mask']","['malwar', 'appli', 'xor', 'mask', 'byte', 'start', 'offset', '0x40']"
23,23,Capability,"within the command, further decrypts the data by using",1,it decrypts the data by using the Number Theory Library (NTL),uses,within command decrypt data use,decrypt data use number theori librari ntl,"['within', 'command', 'decrypt', 'data', 'use']","['decrypt', 'data', 'use', 'number', 'theori', 'librari', 'ntl']"
24,24,Capability,"Theory Library (NTL), and makes sure the command is destined",1,it makes sure the command is destined to the current host by matching the ID field in it,deployed,theori librari ntl make sure command destin,make sure command destin current host match id field,"['theori', 'librari', 'ntl', 'make', 'sure', 'command', 'destin']","['make', 'sure', 'command', 'destin', 'current', 'host', 'match', 'id', 'field']"
25,25,Capability,"Once decrypted, the malware interprets the received command, as",1,the malware interprets the received command,generated,onc decrypt malwar interpret receiv command,malwar interpret receiv command,"['onc', 'decrypt', 'malwar', 'interpret', 'receiv', 'command']","['malwar', 'interpret', 'receiv', 'command']"
26,26,Capability,"After that, the malware connects to the new C&C,",1,the malware connects to the new C&C,sent,malwar connect new c&c,malwar connect new c&c,"['malwar', 'connect', 'new', 'c&c']","['malwar', 'connect', 'new', 'c&c']"
27,27,Capability,"to the new C&C, asking it for another command:",1,the malware asking for another command,is now encoded,new c&c ask anoth command:,malwar ask anoth command,"['new', 'c&c', 'ask', 'anoth', 'command:']","['malwar', 'ask', 'anoth', 'command']"
28,28,Capability,"2014 The command it receives is called UpLoad, so",1,it The command receives,connected, command receiv call upload,command receiv,"['command', 'receiv', 'call', 'upload']","['command', 'receiv']"
29,29,Capability,"called UpLoad, so it uploads all the collected logs",1,it uploads all the collected logs to the server,generated,call upload upload collect log,upload collect log server,"['call', 'upload', 'upload', 'collect', 'log']","['upload', 'collect', 'log', 'server']"
30,30,Capability,Status:200 The files it uploads are stored inside its,1,it The files uploads,is encoded,status:200 file upload store insid,file upload,"['status:200', 'file', 'upload', 'store', 'insid']","['file', 'upload']"
31,31,Capability,sample reveals that it supports 3 modes of fetching,1,it supports 3 modes of fetching C&C commands,evade,sampl reveal support mode fetch,support mode fetch c&c command,"['sampl', 'reveal', 'support', 'mode', 'fetch']","['support', 'mode', 'fetch', 'c&c', 'command']"
32,32,Capability,"the first mode, it relies on Windows Internet (WinINet) APIs,",1,"it Windows Internet (WinINet) APIs, such as HttpOpenRequest(), HttpSendRequest(), InternetReadFile(), etc relies on",contains,first mode reli window internet wininet api,window internet wininet api httpopenrequest httpsendrequest internetreadfil etc reli,"['first', 'mode', 'reli', 'window', 'internet', 'wininet', 'api']","['window', 'internet', 'wininet', 'api', 'httpopenrequest', 'httpsendrequest', 'internetreadfil', 'etc', 'reli']"
33,33,Capability,"the second mode, it uses Windows Sockets 2 (Winsock)",1,"it Windows Sockets 2 (Winsock) APIs, such as WSAStartup(), socket(), connect(), send(), etc uses",maintain,second mode use window socket winsock,window socket winsock api wsastartup socket connect send etc use,"['second', 'mode', 'use', 'window', 'socket', 'winsock']","['window', 'socket', 'winsock', 'api', 'wsastartup', 'socket', 'connect', 'send', 'etc', 'use']"
34,34,Capability,"the third mode, it works in the ‘pipe server’",1,it works in the ‘pipe server’ mode,be used,third mode work ‘pipe server,work ‘pipe server mode,"['third', 'mode', 'work', '‘pipe', 'server']","['work', '‘pipe', 'server', 'mode']"
35,35,Capability,"server’ mode, when it passes the web requests it",1,it passes the web requests it is interested in (as a client) to the pipe server that runs within Windows Explorer (explorer.exe) and/or Internet Explorer (iexplore.exe) processes,present,server mode pass web request,pass web request interest client pipe server run within window explor explorer.ex system-path  internet explor iexplore.ex process,"['server', 'mode', 'pass', 'web', 'request']","['pass', 'web', 'request', 'interest', 'client', 'pipe', 'server', 'run', 'within', 'window', 'explor', 'explorer.ex', 'system-path', 'internet', 'explor', 'iexplore.ex', 'process']"
36,36,Capability,"mode, the DLL may start communicating with C&C directly.",1,the DLL start communicating with C&C directly,establishing and maintaining,mode dll may start commun c&c directly.,dll start commun c&c directli,"['mode', 'dll', 'may', 'start', 'commun', 'c&c', 'directly.']","['dll', 'start', 'commun', 'c&c', 'directli']"
37,37,Capability,the injected DLL will start communicating with the pipe,1,the injected DLL start communicating with the pipe server,covertly install,inject dll start commun pipe,inject dll start commun pipe server,"['inject', 'dll', 'start', 'commun', 'pipe']","['inject', 'dll', 'start', 'commun', 'pipe', 'server']"
38,38,Capability,the pipe server by sending messages into the established,1,the injected DLL sending messages into the established inter-process communication pipes,hide,pipe server send messag establish,inject dll send messag establish inter-process commun pipe,"['pipe', 'server', 'send', 'messag', 'establish']","['inject', 'dll', 'send', 'messag', 'establish', 'inter-process', 'commun', 'pipe']"
39,39,Capability,"of communication with C&C is delegated to the pipe server,",1,is delegated the task of communication with C&C to the pipe server,provide,commun c&c deleg pipe server,deleg task commun c&c pipe server,"['commun', 'c&c', 'deleg', 'pipe', 'server']","['deleg', 'task', 'commun', 'c&c', 'pipe', 'server']"
40,40,Capability,"pipe server, it will start communicating with the C&C,",1,it start communicating with the C&C,enable,pipe server start commun c&c,start commun c&c,"['pipe', 'server', 'start', 'commun', 'c&c']","['start', 'commun', 'c&c']"
41,41,Capability,the pipe server to perform other operations on their,1,the pipe server GET perform,are carried out,pipe server perform oper,pipe server get perform,"['pipe', 'server', 'perform', 'oper']","['pipe', 'server', 'get', 'perform']"
42,42,Capability,the pipe server to perform other operations on their,1,the pipe server POST requests perform,are handled,pipe server perform oper,pipe server post request perform,"['pipe', 'server', 'perform', 'oper']","['pipe', 'server', 'post', 'request', 'perform']"
43,43,Capability,"of tasks, the clients send messages to the pipe",1,the clients send messages to using the pipe server the following task identification headers,depend on,task client send messag pipe,client send messag use pipe server follow task identif header,"['task', 'client', 'send', 'messag', 'pipe']","['client', 'send', 'messag', 'use', 'pipe', 'server', 'follow', 'task', 'identif', 'header']"
44,44,Capability,set of domain names are hard-coded within the body of,1,are hard-coded the initial set of domain names within the body of the DLL,installed,set domain name hard-cod within bodi,hard-cod initi set domain name within bodi dll,"['set', 'domain', 'name', 'hard-cod', 'within', 'bodi']","['hard-cod', 'initi', 'set', 'domain', 'name', 'within', 'bodi', 'dll']"
45,45,Capability,system. The ability to update the driver and then,1,update the driver,injected,system. abil updat driver,updat driver,"['system.', 'abil', 'updat', 'driver']","['updat', 'driver']"
46,46,Capability,the driver and then rely on its communication capabilities means,1,rely on its communication capabilities,load,driver reli commun capabl mean,reli commun capabl,"['driver', 'reli', 'commun', 'capabl', 'mean']","['reli', 'commun', 'capabl']"
47,47,Capability,where the kernel-mode driver is responsible for the communications.,1,the kernel-mode driver is responsible for the communications,use,kernel-mod driver respons communications.,kernel-mod driver respons commun,"['kernel-mod', 'driver', 'respons', 'communications.']","['kernel-mod', 'driver', 'respons', 'commun']"
48,48,Capability,a kernel-mode driver to carry out the network communications. The,1,a kernel-mode driver carry out the network communications,creates,kernel-mod driver carri network communications.,kernel-mod driver carri network commun,"['kernel-mod', 'driver', 'carri', 'network', 'communications.']","['kernel-mod', 'driver', 'carri', 'network', 'commun']"
49,49,Capability,"FwpsCopyStreamDataToBuffer0() API, and then scanned for the presence of",1,scanned for it the presence of the hidden commands from C&C,is used,api scan presenc,scan presenc hidden command c&c,"['api', 'scan', 'presenc']","['scan', 'presenc', 'hidden', 'command', 'c&c']"
50,50,Capability,allowing Snake to covertly insert traffic destined to its,1,Snake insert traffic destined to its C&C servers,drops,allow snake covertli insert traffic destin,snake insert traffic destin c&c server,"['allow', 'snake', 'covertli', 'insert', 'traffic', 'destin']","['snake', 'insert', 'traffic', 'destin', 'c&c', 'server']"
51,51,Capability,"now inspect the traffic, looking for and then parsing GET/POST HTTP requests and",1,it GET/POST HTTP requests and also SMTP communications looking for and then parsing,applied,inspect traffic look pars system-path  http request,system-path  http request also smtp commun look pars,"['inspect', 'traffic', 'look', 'pars', 'system-path', 'http', 'request']","['system-path', 'http', 'request', 'also', 'smtp', 'commun', 'look', 'pars']"
52,52,Capability,"communications, in order to distinguish commands addressed to itself.",1,it distinguish commands addressed to itself,is dropped,commun order distinguish command address itself.,distinguish command address,"['commun', 'order', 'distinguish', 'command', 'address', 'itself.']","['distinguish', 'command', 'address']"
53,53,Capability,API in order to generate outbound requests. Whenever the,1,it generate outbound requests,be injected,api order gener outbound requests. whenev,gener outbound request,"['api', 'order', 'gener', 'outbound', 'requests.', 'whenev']","['gener', 'outbound', 'request']"
54,54,Capability,module is expected to execute them and report results,1,the DLL module If execute them the data contains commands from C&C,be installed,modul expect execut report result,dll modul execut data contain command c&c,"['modul', 'expect', 'execut', 'report', 'result']","['dll', 'modul', 'execut', 'data', 'contain', 'command', 'c&c']"
55,55,Capability,to the driver to be delivered back to C&C. NDIS,1,the driver C&C be delivered back to,be run,driver deliv back c&c. ndi,driver c&c deliv back,"['driver', 'deliv', 'back', 'c&c.', 'ndi']","['driver', 'c&c', 'deliv', 'back']"
56,56,Capability,"handler functions, it can send receive data by using",1,it send data by using a private TCP/IP stack,sets up,handler function send receiv data use,send data use privat system-path  stack,"['handler', 'function', 'send', 'receiv', 'data', 'use']","['send', 'data', 'use', 'privat', 'system-path', 'stack']"
57,57,Capability,"functions, it can send/ receive data by using a",1,it receive data by using a private TCP/IP stack,calls,function system-path  receiv data use,receiv data use privat system-path  stack,"['function', 'system-path', 'receiv', 'data', 'use']","['receiv', 'data', 'use', 'privat', 'system-path', 'stack']"
58,58,Capability,"the underlying miniport driver receives data from the network,",1,the underlying miniport driver receives data from the network,be notified,underli miniport driver receiv data network,underli miniport driver receiv data network,"['underli', 'miniport', 'driver', 'receiv', 'data', 'network']","['underli', 'miniport', 'driver', 'receiv', 'data', 'network']"
59,59,Capability,"into existing communications to reach out to external components, and",1,Snake reach out to external components,stay,exist commun reach extern compon,snake reach extern compon,"['exist', 'commun', 'reach', 'extern', 'compon']","['snake', 'reach', 'extern', 'compon']"
60,60,Capability,see if it can be authenticated as Snake traffic. The,1,Snake traffic be authenticated it as,infect,see authent snake traffic.,snake traffic authent,"['see', 'authent', 'snake', 'traffic.']","['snake', 'traffic', 'authent']"
61,61,Capability,Snake traffic. The authentication is implemented by decrypting the data,1,The authentication is implemented,restore,snake traffic. authent implement decrypt data,authent implement,"['snake', 'traffic.', 'authent', 'implement', 'decrypt', 'data']","['authent', 'implement']"
62,62,Capability,authentication is implemented by decrypting the data and making,1,decrypting the data,sets,authent implement decrypt data make,decrypt data,"['authent', 'implement', 'decrypt', 'data', 'make']","['decrypt', 'data']"
63,63,Capability,decrypting the data and making sure it starts with the,1,making sure it starts with the markers 0xDEADBEAF and 0xC001BA5E (which appear to derive from ‘DEAD BEEF’ and ‘COOL BASE’),hide,decrypt data make sure start,make sure start marker 0xdeadbeaf 0xc001ba5e appear deriv ‘dead beef ‘cool base,"['decrypt', 'data', 'make', 'sure', 'start']","['make', 'sure', 'start', 'marker', '0xdeadbeaf', '0xc001ba5e', 'appear', 'deriv', '‘dead', 'beef', '‘cool', 'base']"
64,64,Capability,is that the driver is acting in this mode like,1,the driver is acting in like this mode a proxy,watches,driver act thi mode like,driver act like thi mode proxi,"['driver', 'act', 'thi', 'mode', 'like']","['driver', 'act', 'like', 'thi', 'mode', 'proxi']"
65,65,Capability,HTTP the driver will respond with messages like HTTP/1.1,1,the driver respond with messages like HTTP/1.1 200 OK or HTTP/1.1 500 Server Error,stays,http driver respond messag like system-path ,driver respond messag like system-path  200 ok system-path  500 server error,"['http', 'driver', 'respond', 'messag', 'like', 'system-path']","['driver', 'respond', 'messag', 'like', 'system-path', '200', 'ok', 'system-path', '500', 'server', 'error']"
66,66,Capability,Once the incoming data is authenticated and decrypted the driver passes it,1,is authenticated and decrypted the incoming data,intercepts,onc incom data authent decrypt driver pass,authent decrypt incom data,"['onc', 'incom', 'data', 'authent', 'decrypt', 'driver', 'pass']","['authent', 'decrypt', 'incom', 'data']"
67,67,Capability,inj_snake_x64.dll The rkctl_Win32.dll/rkctl_x64.dll module uses the following hard-coded named,1,The rkctl_Win32.dll/rkctl_x64.dll module uses the following hard-coded named pipe for communications,injects,inj_snake_x64.dl modul use follow hard-cod name,modul use follow hard-cod name pipe commun,"['inj_snake_x64.dl', 'modul', 'use', 'follow', 'hard-cod', 'name']","['modul', 'use', 'follow', 'hard-cod', 'name', 'pipe', 'commun']"
68,68,Capability,The remote commands it receives appear to be designed,1,it The remote commands receives,initiates,remot command receiv appear design,remot command receiv,"['remot', 'command', 'receiv', 'appear', 'design']","['remot', 'command', 'receiv']"
69,69,Capability,to be designed to control other components of Snake:,1,The remote commands control other components of Snake,blend,design control compon snake:,remot command control compon snake,"['design', 'control', 'compon', 'snake:']","['remot', 'command', 'control', 'compon', 'snake']"
70,70,Capability,that the DLL should use for its communications. The,1,the DLL use the pipe name(s) for its communications,bypassing,dll use communications.,dll use pipe name commun,"['dll', 'use', 'communications.']","['dll', 'use', 'pipe', 'name', 'commun']"
71,71,Capability,communications. The remote commands received by this Snake DLL,1,this Snake DLL module The remote commands received,keeping,communications. remot command receiv thi snake dll,thi snake dll modul remot command receiv,"['communications.', 'remot', 'command', 'receiv', 'thi', 'snake', 'dll']","['thi', 'snake', 'dll', 'modul', 'remot', 'command', 'receiv']"
72,72,Capability,"write_peer_nfo • read_peer_nfo To post the data, the DLL",1,the DLL post the data,stay,write_peer_nfo read_peer_nfo post data dll,dll post data,"['write_peer_nfo', 'read_peer_nfo', 'post', 'data', 'dll']","['dll', 'post', 'data']"
73,73,Capability,application/vnd.ms-powerpoint Request type it uses can either be POST,1,it uses,Hiding,request type use either post,use,"['request', 'type', 'use', 'either', 'post']",['use']
74,74,Capability,"it uses can either be POST of GET, and",1,Request type POST be,injected,use either post get,request type post,"['use', 'either', 'post', 'get']","['request', 'type', 'post']"
75,75,Capability,C&C server resource name is /default.asp. BAE Systems Applied,1,C&C server resource name is /default.asp,started,c&c server resourc name system-path  bae system appli asp-file,c&c server resourc name system-path  asp-file,"['c&c', 'server', 'resourc', 'name', 'system-path', 'bae', 'system', 'appli', 'asp-file']","['c&c', 'server', 'resourc', 'name', 'system-path', 'asp-file']"
76,76,Capability,"it uses can either be POST of GET, and",1,Request type GET be,relies on,use either post get,request type get,"['use', 'either', 'post', 'get']","['request', 'type', 'get']"
77,77,Capability,Theory Library) algorithm and is uploaded by the usermode-centric Snake,1,"This file is uploaded by to along with the usermode-centric Snake rootkit the C&C server other configuration files, such as mtmon.sdb, mtmon32.sdb, gstatsnd.bin, gstat.bin, gstat32.bin, and other log files found in the %windows%\$NtUninstallQrandom$ directory",resolves,theori librari algorithm upload usermode-centr snake,thi file upload along usermode-centr snake rootkit c&c server configur file  sdb-file  sdb-file  bin-file  bin-file  bin-file log file found directori,"['theori', 'librari', 'algorithm', 'upload', 'usermode-centr', 'snake']","['thi', 'file', 'upload', 'along', 'usermode-centr', 'snake', 'rootkit', 'c&c', 'server', 'configur', 'file', 'sdb-file', 'sdb-file', 'bin-file', 'bin-file', 'bin-file', 'log', 'file', 'found', 'directori']"
78,78,Capability,"Metasploit framework, and then deliver the generated shellcode back",1,The attacker deliver the generated shellcode back to to the reconnaissance tool be applied against the identified hosts by running the tool with the ‘exp_os’ switch,fetches,metasploit framework deliv gener shellcod back,attack deliv gener shellcod back reconnaiss tool appli identifi host run tool ‘exp_o switch,"['metasploit', 'framework', 'deliv', 'gener', 'shellcod', 'back']","['attack', 'deliv', 'gener', 'shellcod', 'back', 'reconnaiss', 'tool', 'appli', 'identifi', 'host', 'run', 'tool', '‘exp_o', 'switch']"
79,79,Capability,Another approach is to carry out all of the communications,1,carry out all of the communications from the kernel-mode driver,expects,anoth approach carri commun,carri commun kernel-mod driver,"['anoth', 'approach', 'carri', 'commun']","['carri', 'commun', 'kernel-mod', 'driver']"
80,80,Capability,One approach is to delegate the network communication engine,1,delegate the network communication engine to usermode code,asks,one approach deleg network commun engin,deleg network commun engin usermod code,"['one', 'approach', 'deleg', 'network', 'commun', 'engin']","['deleg', 'network', 'commun', 'engin', 'usermod', 'code']"
81,81,Capability,"the outside world, it only needs one host to be",1,it When only needs one host to be connected online most of the infected hosts are cut off from the outside world,returns,outsid world onli need one host,onli need one host connect onlin infect host cut outsid world,"['outsid', 'world', 'onli', 'need', 'one', 'host']","['onli', 'need', 'one', 'host', 'connect', 'onlin', 'infect', 'host', 'cut', 'outsid', 'world']"
82,82,Capability,initial communications that it sends out to its command and,1,it sends out to the initial communications its command and control server,receives,initi commun send command,send initi commun command control server,"['initi', 'commun', 'send', 'command']","['send', 'initi', 'commun', 'command', 'control', 'server']"
83,83,Capability,first set of commands force the malware to behave,1,The first set of commands force the malware to behave as a simple downloader,is encrypted,first set command forc malwar behav,first set command forc malwar behav simpl download,"['first', 'set', 'command', 'forc', 'malwar', 'behav']","['first', 'set', 'command', 'forc', 'malwar', 'behav', 'simpl', 'download']"
84,84,Capability,is fairly simplistic but provides the operator with access,1,The command and control structure provides the operator with access to the victim machine’s filesystem and command line,calculates and confirms,fairli simplist provid oper access,command control structur provid oper access victim machin filesystem command line,"['fairli', 'simplist', 'provid', 'oper', 'access']","['command', 'control', 'structur', 'provid', 'oper', 'access', 'victim', 'machin', 'filesystem', 'command', 'line']"
85,85,Capability,various tasks such as executing arbitrary commands or uploading,1,executing arbitrary commands,decrypt,variou task execut arbitrari command upload,execut arbitrari command,"['variou', 'task', 'execut', 'arbitrari', 'command', 'upload']","['execut', 'arbitrari', 'command']"
86,86,Capability,executing arbitrary commands or uploading and downloading files from,1,uploading files from the compromised system,applies,execut arbitrari command upload download file,upload file compromis system,"['execut', 'arbitrari', 'command', 'upload', 'download', 'file']","['upload', 'file', 'compromis', 'system']"
87,87,Capability,commands or uploading and downloading files from the compromised,1,downloading files from the compromised system,decrypts,command upload download file compromis,download file compromis system,"['command', 'upload', 'download', 'file', 'compromis']","['download', 'file', 'compromis', 'system']"
88,88,Capability,"message is received, OrcaRAT sends an HTTP POST message",1,OrcaRAT sends an HTTP POST message to the command and control server,makes sure,messag receiv orcarat send http post messag,orcarat send http post messag command control server,"['messag', 'receiv', 'orcarat', 'send', 'http', 'post', 'messag']","['orcarat', 'send', 'http', 'post', 'messag', 'command', 'control', 'server']"
89,89,Capability,the employed Korplug samples were connecting to the same C&C,1,the employed Korplug samples were connecting to the same C&C domain,interprets,employ korplug sampl connect c&c,employ korplug sampl connect c&c domain,"['employ', 'korplug', 'sampl', 'connect', 'c&c']","['employ', 'korplug', 'sampl', 'connect', 'c&c', 'domain']"
90,90,Capability,Email:stanlee@gmail.com Other Korplug samples were connecting to a different domain,1,Other Korplug samples were connecting to a different domain name resolving to the same IPs as notebookhk.net,connects,korplug sampl connect differ domain,korplug sampl connect differ domain name resolv ip  net-file,"['korplug', 'sampl', 'connect', 'differ', 'domain']","['korplug', 'sampl', 'connect', 'differ', 'domain', 'name', 'resolv', 'ip', 'net-file']"
91,91,Capability,of these ‘alternative RATs’ was connecting to a domain also,1,One of these ‘alternative RATs’ was connecting to a domain also used by the Korplug samples,asking,‘altern rat wa connect domain also,one ‘altern rat wa connect domain also use korplug sampl,"['‘altern', 'rat', 'wa', 'connect', 'domain', 'also']","['one', '‘altern', 'rat', 'wa', 'connect', 'domain', 'also', 'use', 'korplug', 'sampl']"
92,92,Capability,"on the infected machine, transfer files to and from",1,The malware transfer to files the C&C server,receives,infect machin transfer file,malwar transfer file c&c server,"['infect', 'machin', 'transfer', 'file']","['malwar', 'transfer', 'file', 'c&c', 'server']"
93,93,Capability,"on the infected machine, transfer files to and from",1,The malware transfer from files the C&C server,uploads,infect machin transfer file,malwar transfer file c&c server,"['infect', 'machin', 'transfer', 'file']","['malwar', 'transfer', 'file', 'c&c', 'server']"
94,94,Capability,written in Delphi and connects to www.dicemention.com. Some samples,1,It connects to www.dicemention.com,cleans out,written delphi connect  com-file sampl,connect  com-file,"['written', 'delphi', 'connect', 'com-file', 'sampl']","['connect', 'com-file']"
95,95,Capability,"Furthermore, the attackers also shared a C&C domain. The",1,the attackers shared a C&C domain,uploads,furthermor attack also share c&c domain.,attack share c&c domain,"['furthermor', 'attack', 'also', 'share', 'c&c', 'domain.']","['attack', 'share', 'c&c', 'domain']"
96,96,Capability,command and control server is performed by the browser process,1,the browser process ComRAT’s communication to the command and control server is performed,store,command control server perform browser process,browser process comrat commun command control server perform,"['command', 'control', 'server', 'perform', 'browser', 'process']","['browser', 'process', 'comrat', 'commun', 'command', 'control', 'server', 'perform']"
97,97,Capability,"and control server information is stored in the registry, not",1,The command and control server information is stored in the registry,are used,control server inform store registri,command control server inform store registri,"['control', 'server', 'inform', 'store', 'registri']","['command', 'control', 'server', 'inform', 'store', 'registri']"
98,98,Capability,the XML log file contains the command and control,1,the XML log file contains the command and control server information,supports,xml log file contain command control,xml log file contain command control server inform,"['xml', 'log', 'file', 'contain', 'command', 'control']","['xml', 'log', 'file', 'contain', 'command', 'control', 'server', 'inform']"
99,99,Capability,and control server domains are shared between Uroburos and ComRAT.,1,Uroburos and ComRAT Command and control server domains are shared between,relies on,control server domain share uroburo comrat.,uroburo comrat command control server domain share,"['control', 'server', 'domain', 'share', 'uroburo', 'comrat.']","['uroburo', 'comrat', 'command', 'control', 'server', 'domain', 'share']"
100,100,Capability,traffic and the malware communicates to the browser by,1,the malware communicates to by the browser named pipe,uses,traffic malwar commun browser,malwar commun browser name pipe,"['traffic', 'malwar', 'commun', 'browser']","['malwar', 'commun', 'browser', 'name', 'pipe']"
