,Unnamed: 0,label,text-rel,label_num,tokens,text-neigh,token,text-rel-processed,text-neigh-processed,text-rel-tokens,text-neigh-tokens
13,13,ActionName,The installed hook handler checks if the name of the device is netbt or afd,1,drops,original API and then checks if the name of,drops,instal hook handler check name devic netbt afd,origin api check name,"['instal', 'hook', 'handler', 'check', 'name', 'devic', 'netbt', 'afd']","['origin', 'api', 'check', 'name']"
14,14,ActionName,the DLL log the data into the log files,1,drops,that the DLL could log the data into the,drops,dll log data log file,dll could log data,"['dll', 'log', 'data', 'log', 'file']","['dll', 'could', 'log', 'data']"
15,15,ActionName,is written that data to the volume,1,sent,encryption/decryption whenever that data is written to or read from,sent,written data volum,system-path  whenev data written read,"['written', 'data', 'volum']","['system-path', 'whenev', 'data', 'written', 'read']"
16,16,ActionName,read that data from the volume,1,dropped,is written to or read from the volume. The,dropped,read data volum,written read volume.,"['read', 'data', 'volum']","['written', 'read', 'volume.']"
17,17,ActionName,is saved the data into the volume Hd1,1,contained,"result, whenever the data is saved into the volume Hd1,",contained,save data volum hd1,result whenev data save volum hd1,"['save', 'data', 'volum', 'hd1']","['result', 'whenev', 'data', 'save', 'volum', 'hd1']"
18,18,ActionName,it stores its message queue in a file called,1,targeting,"it. For example, it stores its message queue in",targeting,store messag queue file call,it. exampl store messag queue,"['store', 'messag', 'queue', 'file', 'call']","['it.', 'exampl', 'store', 'messag', 'queue']"
19,19,ActionName,the Snake driver store its data and additional files on it,1,Attached,uses virtual volumes to store its data and additional,Attached,snake driver store data addit file,use virtual volum store data addit,"['snake', 'driver', 'store', 'data', 'addit', 'file']","['use', 'virtual', 'volum', 'store', 'data', 'addit']"
20,20,ActionName,is created,1,dropped,"64-bit unsigned driver file is created as usual: %windows%\$NtUninstallQ817473$\fdisk.sys However,",dropped,creat,64-bit unsign driver file creat usual: hash-code howev,['creat'],"['64-bit', 'unsign', 'driver', 'file', 'creat', 'usual:', 'hash-code', 'howev']"
21,21,ActionName,the dropper copies itself,1,communicates,"that, the dropper first copies itself as: %windows%\$NtUninstallQ817473$\fdisk_mon.exe The",communicates,dropper copi,dropper first copi as: hash-code,"['dropper', 'copi']","['dropper', 'first', 'copi', 'as:', 'hash-code']"
22,22,ActionName,the Snake dropper loads a copy of the NT core image (ntoskrnl.exe),1,encodes,"memory, the Snake dropper loads a copy of the",encodes,snake dropper load copi nt core imag ntoskrnl.ex,memori snake dropper load copi,"['snake', 'dropper', 'load', 'copi', 'nt', 'core', 'imag', 'ntoskrnl.ex']","['memori', 'snake', 'dropper', 'load', 'copi']"
23,23,ActionName,the Snake dropper SepInitializeCodeIntegrity() within it locates the import of CI.dll’s function CiInitialize(),1,uses,"NT core image (ntoskrnl.exe), locates the import of CI.dll’s",uses,snake dropper within locat import  dll-file function ciiniti,nt core imag ntoskrnl.ex locat import  dll-file,"['snake', 'dropper', 'within', 'locat', 'import', 'dll-file', 'function', 'ciiniti']","['nt', 'core', 'imag', 'ntoskrnl.ex', 'locat', 'import', 'dll-file']"
24,24,ActionName,it parses the function’s code to locate the offset of the variable,1,deployed,within it. Then it parses the function’s code to,deployed,pars function code locat offset variabl,within it. pars function code,"['pars', 'function', 'code', 'locat', 'offset', 'variabl']","['within', 'it.', 'pars', 'function', 'code']"
25,25,ActionName,It MS09-025 and MS10-015 exploits running on the target system,1,generated,to do this by running MS09-025 and MS10-015 exploits,generated,ms09-025 ms10-015 exploit run target system,thi run ms09-025 ms10-015 exploit,"['ms09-025', 'ms10-015', 'exploit', 'run', 'target', 'system']","['thi', 'run', 'ms09-025', 'ms10-015', 'exploit']"
26,26,ActionName,is written the initial message queue file into the virtual volume,1,sent,message queue file which is written into the virtual volume.,sent,written initi messag queue file virtual volum,messag queue file written virtual volume.,"['written', 'initi', 'messag', 'queue', 'file', 'virtual', 'volum']","['messag', 'queue', 'file', 'written', 'virtual', 'volume.']"
27,27,ActionName,it reads configuration parameters from the configuration queue,1,is now encoded,"the DLL activates, it reads configuration parameters from the",is now encoded,read configur paramet configur queue,dll activ read configur paramet,"['read', 'configur', 'paramet', 'configur', 'queue']","['dll', 'activ', 'read', 'configur', 'paramet']"
28,28,ActionName,the driver creates the configuration queue on a virtual volume,1,connected,"queue, that the driver creates on a virtual volume.",connected,driver creat configur queue virtual volum,queue driver creat virtual volume.,"['driver', 'creat', 'configur', 'queue', 'virtual', 'volum']","['queue', 'driver', 'creat', 'virtual', 'volume.']"
29,29,ActionName,The data saved into a configuration file %system%\vtmon.bin,1,generated,retrieves is encrypted and saved into a configuration file,generated,data save configur file system-path  bin-file some-variable,retriev encrypt save configur file,"['data', 'save', 'configur', 'file', 'system-path', 'bin-file', 'some-variable']","['retriev', 'encrypt', 'save', 'configur', 'file']"
30,30,ActionName,the latest samples of Snake Log files created,1,is encoded,variants: 1dM3uu4j7Fw4sjnbcwlDqet4F7JyuUi4m5Imnxl1pzxI6as80cbLnmz54cs5Ldn4ri3do5L6gs923HL34x2f5cvd0fk6c1a0s Log files created by the latest samples,is encoded,latest sampl snake log file creat,variants: hash-code log file creat latest sampl,"['latest', 'sampl', 'snake', 'log', 'file', 'creat']","['variants:', 'hash-code', 'log', 'file', 'creat', 'latest', 'sampl']"
31,31,ActionName,the injected module write into files the sensitive registry hives,1,evade,injected module could still write into files and into,evade,inject modul write file sensit registri hive,inject modul could still write file,"['inject', 'modul', 'write', 'file', 'sensit', 'registri', 'hive']","['inject', 'modul', 'could', 'still', 'write', 'file']"
32,32,ActionName,it The logs and dumps creates on the hidden virtual volumes,1,contains,logs and dumps it creates on the hidden virtual,contains,log dump creat hidden virtual volum,log dump creat hidden virtual,"['log', 'dump', 'creat', 'hidden', 'virtual', 'volum']","['log', 'dump', 'creat', 'hidden', 'virtual']"
33,33,ActionName,written a binary executable file to the disk,1,maintain,"file, which is then written to the disk and",maintain,written binari execut file disk,file written disk,"['written', 'binari', 'execut', 'file', 'disk']","['file', 'written', 'disk']"
34,34,ActionName,executed a binary executable file,1,be used,to the disk and executed The second set of,be used,execut binari execut file,disk execut second set,"['execut', 'binari', 'execut', 'file']","['disk', 'execut', 'second', 'set']"
35,35,ActionName,the dropper creates an additional file called winview.ocx,1,present,"than 3.26, the dropper creates an additional file called",present,dropper creat addit file call  ocx-file,3.26 dropper creat addit file call,"['dropper', 'creat', 'addit', 'file', 'call', 'ocx-file']","['3.26', 'dropper', 'creat', 'addit', 'file', 'call']"
36,36,ActionName,The file is xored with the following obfuscation key,1,establishing and maintaining,the past. The file is xored with the following obfuscation,establishing and maintaining,file xore follow obfusc key,past. file xore follow obfusc,"['file', 'xore', 'follow', 'obfusc', 'key']","['past.', 'file', 'xore', 'follow', 'obfusc']"
37,37,ActionName,the malware checks if an older version is installed on the system,1,covertly install,notice that the malware checks if an older version,covertly install,malwar check older version instal system,notic malwar check older version,"['malwar', 'check', 'older', 'version', 'instal', 'system']","['notic', 'malwar', 'check', 'older', 'version']"
38,38,ActionName,the dropper removes the older version,1,hide,"the case, the dropper removes the older version. In",hide,dropper remov older version,case dropper remov older version.,"['dropper', 'remov', 'older', 'version']","['case', 'dropper', 'remov', 'older', 'version.']"
39,39,ActionName,Uroburos was found on a version of Agent.BTZ a system,1,provide,a version of Agent.BTZ was found on a system. flow,provide,uroburo wa found version  btz-file system,version  btz-file wa found system. flow,"['uroburo', 'wa', 'found', 'version', 'btz-file', 'system']","['version', 'btz-file', 'wa', 'found', 'system.', 'flow']"
40,40,ActionName,Two log files are created during the malware execution,1,enable,pipe. Two log files are created during the malware execution:,enable,two log file creat dure malwar execut,pipe. two log file creat dure malwar execution:,"['two', 'log', 'file', 'creat', 'dure', 'malwar', 'execut']","['pipe.', 'two', 'log', 'file', 'creat', 'dure', 'malwar', 'execution:']"
41,41,ActionName,is only executed in the main part (payload) of the malware explorer.exe,1,are carried out,"(payload) of the malware is only executed in explorer.exe. Furthermore, the",are carried out,onli execut main part payload malwar explorer.ex,payload malwar onli execut  exe-file furthermor,"['onli', 'execut', 'main', 'part', 'payload', 'malwar', 'explorer.ex']","['payload', 'malwar', 'onli', 'execut', 'exe-file', 'furthermor']"
42,42,ActionName,the attacker delete files,1,are handled,"to upload, download, enumerate, delete search, and execute files",are handled,attack delet file,upload download enumer delet search execut file,"['attack', 'delet', 'file']","['upload', 'download', 'enumer', 'delet', 'search', 'execut', 'file']"
43,43,ActionName,the attacker search files,1,depend on,"upload, download, enumerate, delete, search and execute files as",depend on,attack search file,upload download enumer delet search execut file,"['attack', 'search', 'file']","['upload', 'download', 'enumer', 'delet', 'search', 'execut', 'file']"
44,44,ActionName,the attacker execute files,1,installed,"enumerate, delete, search, and execute files as well as",installed,attack execut file,enumer delet search execut file well,"['attack', 'execut', 'file']","['enumer', 'delet', 'search', 'execut', 'file', 'well']"
45,45,ActionName,the backdoor load the legitimate system32\msacm32.drv file,1,injected,the backdoor will also load the legitimate system32\msacm32.drv file,injected,backdoor load legitim system-path  file drv-file,backdoor also load legitim system-path  file drv-file,"['backdoor', 'load', 'legitim', 'system-path', 'file', 'drv-file']","['backdoor', 'also', 'load', 'legitim', 'system-path', 'file', 'drv-file']"
46,46,ActionName,it cleans traces of the initial loader,1,load,"stage When launched, it cleans traces of the initial",load,clean trace initi loader,stage launch clean trace initi,"['clean', 'trace', 'initi', 'loader']","['stage', 'launch', 'clean', 'trace', 'initi']"
47,47,ActionName,it loads the next part of the toolkit,1,use,"of the initial loader, loads the next part of",use,load next part toolkit,initi loader load next part,"['load', 'next', 'part', 'toolkit']","['initi', 'loader', 'load', 'next', 'part']"
48,48,ActionName,Stage 2 On disinfect the compromised device failure,1,creates,2 is able to disinfect the compromised device. The,creates,stage disinfect compromis devic failur,abl disinfect compromis device.,"['stage', 'disinfect', 'compromis', 'devic', 'failur']","['abl', 'disinfect', 'compromis', 'device.']"
49,49,ActionName,"The malware zeroes out its PE (Portable Executable, the Windows executable format) headers in memory",1,is used,"compromised device. The malware zeroes out its PE (Portable Executable,",is used,malwar zero pe portabl execut window execut format header memori,compromis device. malwar zero pe portabl execut,"['malwar', 'zero', 'pe', 'portabl', 'execut', 'window', 'execut', 'format', 'header', 'memori']","['compromis', 'device.', 'malwar', 'zero', 'pe', 'portabl', 'execut']"
50,50,ActionName,The malware replacing MZ with its own magic marker 0xfedcbafe,1,drops,"format) headers in memory, replacing MZ with its own",drops,malwar replac mz magic marker 0xfedcbaf,format header memori replac mz,"['malwar', 'replac', 'mz', 'magic', 'marker', '0xfedcbaf']","['format', 'header', 'memori', 'replac', 'mz']"
51,51,ActionName,It initializes the core components of the architecture,1,applied,in Windows’ kernel. It initializes the core components of,applied,initi core compon architectur,window kernel. initi core compon,"['initi', 'core', 'compon', 'architectur']","['window', 'kernel.', 'initi', 'core', 'compon']"
52,52,ActionName,It loads the next parts of the malware,1,is dropped,of the architecture and loads the next parts of,is dropped,load next part malwar,architectur load next part,"['load', 'next', 'part', 'malwar']","['architectur', 'load', 'next', 'part']"
53,53,ActionName,a Regin driver loaded a sample,1,be injected,it might have been loaded by a Regin driver,be injected,regin driver load sampl,might load regin driver,"['regin', 'driver', 'load', 'sampl']","['might', 'load', 'regin', 'driver']"
54,54,ActionName,programs access information stored in the computer’s memory,1,be installed,the In order to access information stored in the,be installed,program access inform store comput memori,order access inform store,"['program', 'access', 'inform', 'store', 'comput', 'memori']","['order', 'access', 'inform', 'store']"
55,55,ActionName,was dumped the file from memory,1,be run,hypothesis that the file was dumped from memory during a,be run,wa dump file memori,hypothesi file wa dump memori dure,"['wa', 'dump', 'file', 'memori']","['hypothesi', 'file', 'wa', 'dump', 'memori', 'dure']"
56,56,ActionName,the driver zeroes the content,1,sets up,"using ExFreePool(), the driver zeroes the content, probably to",sets up,driver zero content,use exfreepool driver zero content probabl,"['driver', 'zero', 'content']","['use', 'exfreepool', 'driver', 'zero', 'content', 'probabl']"
57,57,ActionName,the driver remove remaining traces and artifacts,1,calls,sequence of steps to remove remaining traces and artifacts.,calls,driver remov remain trace artifact,sequenc step remov remain trace artifacts.,"['driver', 'remov', 'remain', 'trace', 'artifact']","['sequenc', 'step', 'remov', 'remain', 'trace', 'artifacts.']"
58,58,ActionName,The second thread executing stage two payloads,1,be notified,responsible for downloading and executing stage two payloads. Messages,be notified,second thread execut stage two payload,respons download execut stage two payloads. messag,"['second', 'thread', 'execut', 'stage', 'two', 'payload']","['respons', 'download', 'execut', 'stage', 'two', 'payloads.', 'messag']"
59,59,ActionName,be written a DLL or EXE to disk,1,stay,or EXE that would be written to disk and executed.,stay,written dll exe disk,exe would written disk executed.,"['written', 'dll', 'exe', 'disk']","['exe', 'would', 'written', 'disk', 'executed.']"
60,60,ActionName,executed a DLL or EXE,1,infect,written to disk and executed 8: CORESHELL Command ID,infect,execut dll exe,written disk execut 8: coreshel command id,"['execut', 'dll', 'exe']","['written', 'disk', 'execut', '8:', 'coreshel', 'command', 'id']"
61,61,ActionName,CHOPSTICK creates a hidden file that may be named %ALLUSERSPROFILE%\edg6EF885E2.tmp for temporary storage,1,restore,"collecting host information, CHOPSTICK creates a hidden file that",restore,chopstick creat hidden file may name hash-code temporari storag,collect host inform chopstick creat hidden file,"['chopstick', 'creat', 'hidden', 'file', 'may', 'name', 'hash-code', 'temporari', 'storag']","['collect', 'host', 'inform', 'chopstick', 'creat', 'hidden', 'file']"
62,62,ActionName,CHOPSTICK stores the encrypted message in an edg6EF885E2.tmp temporary file,1,sets,"using RC4, and then stores the encrypted message in",sets,chopstick store encrypt messag  tmp-file temporari file,use rc4 store encrypt messag,"['chopstick', 'store', 'encrypt', 'messag', 'tmp-file', 'temporari', 'file']","['use', 'rc4', 'store', 'encrypt', 'messag']"
63,63,ActionName,CHOPSTICK deletes the file,1,hide,"edg6EF885E2.tmp are uploaded, CHOPSTICK deletes the file. Figure 13",hide,chopstick delet file, tmp-file upload chopstick delet file. figur 13,"['chopstick', 'delet', 'file']","['tmp-file', 'upload', 'chopstick', 'delet', 'file.', 'figur', '13']"
64,64,ActionName,PSM module save the content of Dino modules in an encrypted file,1,watches,the PSM module to save the content of Dino,watches,psm modul save content dino modul encrypt file,psm modul save content dino,"['psm', 'modul', 'save', 'content', 'dino', 'modul', 'encrypt', 'file']","['psm', 'modul', 'save', 'content', 'dino']"
65,65,ActionName,the operators look for files,1,stays,allows the operators to look for files very precisely. For,stays,oper look file,allow oper look file veri precisely.,"['oper', 'look', 'file']","['allow', 'oper', 'look', 'file', 'veri', 'precisely.']"
66,66,ActionName,ramFS offering a disposable execution environment to the operators,1,intercepts,"executed on the machine, offering a disposable execution environment",intercepts,ramf offer dispos execut environ oper,execut machin offer dispos execut environ,"['ramf', 'offer', 'dispos', 'execut', 'environ', 'oper']","['execut', 'machin', 'offer', 'dispos', 'execut', 'environ']"
67,67,ActionName,it executes files,1,injects,"(it downloads, and then executes files, as it offers",injects,execut file,download execut file offer,"['execut', 'file']","['download', 'execut', 'file', 'offer']"
68,68,ActionName,an attacker overwrite the vftable pointer of a Flash object to redirect code execution,1,initiates,permits an attacker to overwrite the vftable pointer of,initiates,attack overwrit vftabl pointer flash object redirect code execut,permit attack overwrit vftabl pointer,"['attack', 'overwrit', 'vftabl', 'pointer', 'flash', 'object', 'redirect', 'code', 'execut']","['permit', 'attack', 'overwrit', 'vftabl', 'pointer']"
69,69,ActionName,it CreateFileA and WriteFile functions writes the file to with disk,1,blend,InternetReadFile functions. Then it writes the file to disk,blend,createfilea writefil function write file disk,internetreadfil functions. write file disk,"['createfilea', 'writefil', 'function', 'write', 'file', 'disk']","['internetreadfil', 'functions.', 'write', 'file', 'disk']"
70,70,ActionName,it runs the file using the WinExec function,1,bypassing,"WriteFile functions. Finally, it runs the file using the",bypassing,run file use winexec function,writefil functions. final run file use,"['run', 'file', 'use', 'winexec', 'function']","['writefil', 'functions.', 'final', 'run', 'file', 'use']"
71,71,ActionName,attack executing designated programs,1,keeping,"downloading and uploading files, executing designated programs, injecting keyboard",keeping,attack execut design program,download upload file execut design program inject keyboard,"['attack', 'execut', 'design', 'program']","['download', 'upload', 'file', 'execut', 'design', 'program', 'inject', 'keyboard']"
72,72,ActionName,a custom macro set automatically run upon document startup,1,stay,custom macro set to automatically run upon document startup. Under,stay,custom macro set automat run upon document startup,custom macro set automat run upon document startup.,"['custom', 'macro', 'set', 'automat', 'run', 'upon', 'document', 'startup']","['custom', 'macro', 'set', 'automat', 'run', 'upon', 'document', 'startup.']"
73,73,ActionName,a module writes it to disk in a special folder,1,Hiding,a module encrypts and writes it to disk in,Hiding,modul write disk special folder,modul encrypt write disk,"['modul', 'write', 'disk', 'special', 'folder']","['modul', 'encrypt', 'write', 'disk']"
74,74,ActionName,It over- writes the files,1,injected,"C&C server. It then overwrites the files, renames them",injected,over- write file,c&c server. overwrit file renam,"['over-', 'write', 'file']","['c&c', 'server.', 'overwrit', 'file', 'renam']"
75,75,ActionName,It renames them several times,1,started,"over- writes the files, renames them several times, and",started,renam sever time,over- write file renam sever time,"['renam', 'sever', 'time']","['over-', 'write', 'file', 'renam', 'sever', 'time']"
76,76,ActionName,It deletes them,1,relies on,"them several times, and deletes them, in an apparent",relies on,delet,sever time delet appar,['delet'],"['sever', 'time', 'delet', 'appar']"
77,77,ActionName,The exploit loaded shellcode,1,resolves,the document. The exploit loaded shellcode that downloaded a,resolves,exploit load shellcod,document. exploit load shellcod download,"['exploit', 'load', 'shellcod']","['document.', 'exploit', 'load', 'shellcod', 'download']"
78,78,ActionName,the FinSpy samples used in Bahrain overwrite the hard disk’s boot sector,1,fetches,samples used in Bahrain overwrite the hard disk’s boot,fetches,finspi sampl use bahrain overwrit hard disk boot sector,sampl use bahrain overwrit hard disk boot,"['finspi', 'sampl', 'use', 'bahrain', 'overwrit', 'hard', 'disk', 'boot', 'sector']","['sampl', 'use', 'bahrain', 'overwrit', 'hard', 'disk', 'boot']"
79,79,ActionName,an embedded Flash file that exploited a vulnerability fixed in Adobe Flash 11.4 loading shell code,1,expects,"in Adobe Flash 11.4, loading shell code to download",expects,embed flash file exploit vulner fix adob flash 11.4 load shell code,adob flash 11.4 load shell code download,"['embed', 'flash', 'file', 'exploit', 'vulner', 'fix', 'adob', 'flash', '11.4', 'load', 'shell', 'code']","['adob', 'flash', '11.4', 'load', 'shell', 'code', 'download']"
80,80,ActionName,a compiled Visual Basic project loads an executable packed with UPX via the RunPE method,1,asks,Visual Basic project that loads via the RunPE method,asks,compil visual basic project load execut pack upx via runp method,visual basic project load via runp method,"['compil', 'visual', 'basic', 'project', 'load', 'execut', 'pack', 'upx', 'via', 'runp', 'method']","['visual', 'basic', 'project', 'load', 'via', 'runp', 'method']"
81,81,ActionName,The .scr file ran both the bait document and the payload,1,returns,archive that decompressed and ran both the bait document,returns,.scr file ran bait document payload,archiv decompress ran bait document,"['.scr', 'file', 'ran', 'bait', 'document', 'payload']","['archiv', 'decompress', 'ran', 'bait', 'document']"
82,82,ActionName,the downloader execute additional malware on the victim's system,1,receives,is to download and execute additional malware on the,receives,download execut addit malwar victim' system,download execut addit malwar,"['download', 'execut', 'addit', 'malwar', ""victim'"", 'system']","['download', 'execut', 'addit', 'malwar']"
83,83,ActionName,the downloader execute an encrypted malicious payload,1,is encrypted,downloader will decrypt and execute Depending on the way,is encrypted,download execut encrypt malici payload,download decrypt execut depend way,"['download', 'execut', 'encrypt', 'malici', 'payload']","['download', 'decrypt', 'execut', 'depend', 'way']"
84,84,ActionName,written two additional files to the victim's hard disk,1,calculates and confirms,two additional files being written to the victim's hard,calculates and confirms,written two addit file victim' hard disk,two addit file written victim' hard,"['written', 'two', 'addit', 'file', ""victim'"", 'hard', 'disk']","['two', 'addit', 'file', 'written', ""victim'"", 'hard']"
85,85,ActionName,the downloader execute additional malware on the victim's system,1,decrypt,is to download and execute additional malware on the,decrypt,download execut addit malwar victim' system,download execut addit malwar,"['download', 'execut', 'addit', 'malwar', ""victim'"", 'system']","['download', 'execut', 'addit', 'malwar']"
86,86,ActionName,the downloader execute an encrypted malicious payload,1,applies,downloader will decrypt and execute Depending on the way,applies,download execut encrypt malici payload,download decrypt execut depend way,"['download', 'execut', 'encrypt', 'malici', 'payload']","['download', 'decrypt', 'execut', 'depend', 'way']"
87,87,ActionName,written two additional files to the victim's hard disk,1,decrypts,two additional files being written to the victim's hard,decrypts,written two addit file victim' hard disk,two addit file written victim' hard,"['written', 'two', 'addit', 'file', ""victim'"", 'hard', 'disk']","['two', 'addit', 'file', 'written', ""victim'"", 'hard']"
88,88,ActionName,BE2 stores the downloaded plugins,1,makes sure,the APT-specific BE2 now stores the downloaded plugins in,makes sure,be2 store download plugin,apt-specif be2 store download plugin,"['be2', 'store', 'download', 'plugin']","['apt-specif', 'be2', 'store', 'download', 'plugin']"
89,89,ActionName,it writes an encrypted Visual Basic Script,1,interprets,"on disk. Instead, it writes an encrypted Visual Basic",interprets,write encrypt visual basic script,disk. instead write encrypt visual basic,"['write', 'encrypt', 'visual', 'basic', 'script']","['disk.', 'instead', 'write', 'encrypt', 'visual', 'basic']"
90,90,ActionName,runs it,1,connects,Visual Basic Script and runs it. Atlas exploit payload,connects,run,visual basic script run it. atla exploit payload,['run'],"['visual', 'basic', 'script', 'run', 'it.', 'atla', 'exploit', 'payload']"
91,91,ActionName,"The malware configuration file is written to the ""SYSTEM"" folder (as opposed to SYSTEM32)",1,asking,"The malware configuration file is written to the ""SYSTEM"" folder",asking,malwar configur file written system folder oppos system32,malwar configur file written system folder,"['malwar', 'configur', 'file', 'written', 'system', 'folder', 'oppos', 'system32']","['malwar', 'configur', 'file', 'written', 'system', 'folder']"
92,92,ActionName,suspected Iranian actors destroyed data on with thousands of computers the Shamoon virus,1,receives,suspected Iranian actors have destroyed data on thousands of,receives,suspect iranian actor destroy data thousand comput shamoon viru,suspect iranian actor destroy data thousand,"['suspect', 'iranian', 'actor', 'destroy', 'data', 'thousand', 'comput', 'shamoon', 'viru']","['suspect', 'iranian', 'actor', 'destroy', 'data', 'thousand']"
93,93,ActionName,the Shamoon attacks wiped computers in Saudi Arabia and Qatar,1,uploads,"the Shamoon attacks, which wiped computers in Saudi Arabia",uploads,shamoon attack wipe comput saudi arabia qatar,shamoon attack wipe comput saudi arabia,"['shamoon', 'attack', 'wipe', 'comput', 'saudi', 'arabia', 'qatar']","['shamoon', 'attack', 'wipe', 'comput', 'saudi', 'arabia']"
94,94,ActionName,The following files are written to in disk this location,1,cleans out,Data\IntelRapidStart\. The following files are written to disk in this,cleans out,follow file written disk thi locat,follow file written disk thi,"['follow', 'file', 'written', 'disk', 'thi', 'locat']","['follow', 'file', 'written', 'disk', 'thi']"
95,95,ActionName,It AppTransferWiz.dll launches via the following command,1,uploads,modules. It drops and launches AppTransferWiz.dll via the following,uploads,apptransferwiz.dl launch via follow command,modules. drop launch apptransferwiz.dl via follow,"['apptransferwiz.dl', 'launch', 'via', 'follow', 'command']","['modules.', 'drop', 'launch', 'apptransferwiz.dl', 'via', 'follow']"
96,96,ActionName,Harvested data written to on disk the local host,1,store,data is encrypted and written to disk on the,store,harvest data written disk local host,data encrypt written disk,"['harvest', 'data', 'written', 'disk', 'local', 'host']","['data', 'encrypt', 'written', 'disk']"
97,97,ActionName,an executable write to disk,1,are used,"that, upon execution, will write to disk and execute",are used,execut write disk,upon execut write disk execut,"['execut', 'write', 'disk']","['upon', 'execut', 'write', 'disk', 'execut']"
98,98,ActionName,an executable CozyDuke execute,1,supports,"write to disk and execute CozyDuke, while at the",supports,execut cozyduk execut,write disk execut cozyduk,"['execut', 'cozyduk', 'execut']","['write', 'disk', 'execut', 'cozyduk']"
99,99,ActionName,CozyDuke executed droppers for DLL files reminiscent of OnionDuke,1,relies on,"some instances, downloaded and executed droppers for DLL files",relies on,cozyduk execut dropper dll file reminisc onionduk,instanc download execut dropper dll file,"['cozyduk', 'execut', 'dropper', 'dll', 'file', 'reminisc', 'onionduk']","['instanc', 'download', 'execut', 'dropper', 'dll', 'file']"
100,100,ActionName,it write two files to disk,1,uses,"Upon execution, it will write two files to disk.",uses,write two file disk,upon execut write two file disk.,"['write', 'two', 'file', 'disk']","['upon', 'execut', 'write', 'two', 'file', 'disk.']"
101,101,ActionName,This dropper write to the main CozyDuke components encrypted configuration file used by CozyDuke disk,1,works,will then proceed to write to disk the main,works,thi dropper write main cozyduk compon encrypt configur file use cozyduk disk,proceed write disk main,"['thi', 'dropper', 'write', 'main', 'cozyduk', 'compon', 'encrypt', 'configur', 'file', 'use', 'cozyduk', 'disk']","['proceed', 'write', 'disk', 'main']"
