,Unnamed: 0,label,text-rel,label_num,text-neigh,text-rel-processed,text-neigh-processed,text-rel-tokens,text-neigh-tokens
64,64,File,PSM module save the content of Dino modules in an encrypted file,1,the PSM module to save the content of Dino,psm modul save content dino modul encrypt file,psm modul save content dino,"['psm', 'modul', 'save', 'content', 'dino', 'modul', 'encrypt', 'file']","['psm', 'modul', 'save', 'content', 'dino']"
65,65,File,the operators look for files,1,allows the operators to look for files very precisely. For,oper look file,allow oper look file veri precisely.,"['oper', 'look', 'file']","['allow', 'oper', 'look', 'file', 'veri', 'precisely.']"
66,66,File,ramFS offering a disposable execution environment to the operators,1,"executed on the machine, offering a disposable execution environment",ramf offer dispos execut environ oper,execut machin offer dispos execut environ,"['ramf', 'offer', 'dispos', 'execut', 'environ', 'oper']","['execut', 'machin', 'offer', 'dispos', 'execut', 'environ']"
67,67,File,it executes files,1,"(it downloads, and then executes files, as it offers",execut file,download execut file offer,"['execut', 'file']","['download', 'execut', 'file', 'offer']"
68,68,File,an attacker overwrite the vftable pointer of a Flash object to redirect code execution,1,permits an attacker to overwrite the vftable pointer of,attack overwrit vftabl pointer flash object redirect code execut,permit attack overwrit vftabl pointer,"['attack', 'overwrit', 'vftabl', 'pointer', 'flash', 'object', 'redirect', 'code', 'execut']","['permit', 'attack', 'overwrit', 'vftabl', 'pointer']"
69,69,File,it CreateFileA and WriteFile functions writes the file to with disk,1,InternetReadFile functions. Then it writes the file to disk,createfilea writefil function write file disk,internetreadfil functions. write file disk,"['createfilea', 'writefil', 'function', 'write', 'file', 'disk']","['internetreadfil', 'functions.', 'write', 'file', 'disk']"
70,70,File,it runs the file using the WinExec function,1,"WriteFile functions. Finally, it runs the file using the",run file use winexec function,writefil functions. final run file use,"['run', 'file', 'use', 'winexec', 'function']","['writefil', 'functions.', 'final', 'run', 'file', 'use']"
71,71,File,attack executing designated programs,1,"downloading and uploading files, executing designated programs, injecting keyboard",attack execut design program,download upload file execut design program inject keyboard,"['attack', 'execut', 'design', 'program']","['download', 'upload', 'file', 'execut', 'design', 'program', 'inject', 'keyboard']"
72,72,File,a custom macro set automatically run upon document startup,1,custom macro set to automatically run upon document startup. Under,custom macro set automat run upon document startup,custom macro set automat run upon document startup.,"['custom', 'macro', 'set', 'automat', 'run', 'upon', 'document', 'startup']","['custom', 'macro', 'set', 'automat', 'run', 'upon', 'document', 'startup.']"
73,73,File,a module writes it to disk in a special folder,1,a module encrypts and writes it to disk in,modul write disk special folder,modul encrypt write disk,"['modul', 'write', 'disk', 'special', 'folder']","['modul', 'encrypt', 'write', 'disk']"
74,74,File,It over- writes the files,1,"C&C server. It then overwrites the files, renames them",over- write file,c&c server. overwrit file renam,"['over-', 'write', 'file']","['c&c', 'server.', 'overwrit', 'file', 'renam']"
75,75,File,It renames them several times,1,"over- writes the files, renames them several times, and",renam sever time,over- write file renam sever time,"['renam', 'sever', 'time']","['over-', 'write', 'file', 'renam', 'sever', 'time']"
76,76,File,It deletes them,1,"them several times, and deletes them, in an apparent",delet,sever time delet appar,['delet'],"['sever', 'time', 'delet', 'appar']"
77,77,File,The exploit loaded shellcode,1,the document. The exploit loaded shellcode that downloaded a,exploit load shellcod,document. exploit load shellcod download,"['exploit', 'load', 'shellcod']","['document.', 'exploit', 'load', 'shellcod', 'download']"
78,78,File,the FinSpy samples used in Bahrain overwrite the hard disk’s boot sector,1,samples used in Bahrain overwrite the hard disk’s boot,finspi sampl use bahrain overwrit hard disk boot sector,sampl use bahrain overwrit hard disk boot,"['finspi', 'sampl', 'use', 'bahrain', 'overwrit', 'hard', 'disk', 'boot', 'sector']","['sampl', 'use', 'bahrain', 'overwrit', 'hard', 'disk', 'boot']"
79,79,File,an embedded Flash file that exploited a vulnerability fixed in Adobe Flash 11.4 loading shell code,1,"in Adobe Flash 11.4, loading shell code to download",embed flash file exploit vulner fix adob flash 11.4 load shell code,adob flash 11.4 load shell code download,"['embed', 'flash', 'file', 'exploit', 'vulner', 'fix', 'adob', 'flash', '11.4', 'load', 'shell', 'code']","['adob', 'flash', '11.4', 'load', 'shell', 'code', 'download']"
80,80,File,a compiled Visual Basic project loads an executable packed with UPX via the RunPE method,1,Visual Basic project that loads via the RunPE method,compil visual basic project load execut pack upx via runp method,visual basic project load via runp method,"['compil', 'visual', 'basic', 'project', 'load', 'execut', 'pack', 'upx', 'via', 'runp', 'method']","['visual', 'basic', 'project', 'load', 'via', 'runp', 'method']"
81,81,File,The .scr file ran both the bait document and the payload,1,archive that decompressed and ran both the bait document,.scr file ran bait document payload,archiv decompress ran bait document,"['.scr', 'file', 'ran', 'bait', 'document', 'payload']","['archiv', 'decompress', 'ran', 'bait', 'document']"
82,82,File,the downloader execute additional malware on the victim's system,1,is to download and execute additional malware on the,download execut addit malwar victim' system,download execut addit malwar,"['download', 'execut', 'addit', 'malwar', ""victim'"", 'system']","['download', 'execut', 'addit', 'malwar']"
83,83,File,the downloader execute an encrypted malicious payload,1,downloader will decrypt and execute Depending on the way,download execut encrypt malici payload,download decrypt execut depend way,"['download', 'execut', 'encrypt', 'malici', 'payload']","['download', 'decrypt', 'execut', 'depend', 'way']"
84,84,File,written two additional files to the victim's hard disk,1,two additional files being written to the victim's hard,written two addit file victim' hard disk,two addit file written victim' hard,"['written', 'two', 'addit', 'file', ""victim'"", 'hard', 'disk']","['two', 'addit', 'file', 'written', ""victim'"", 'hard']"
85,85,File,the downloader execute additional malware on the victim's system,1,is to download and execute additional malware on the,download execut addit malwar victim' system,download execut addit malwar,"['download', 'execut', 'addit', 'malwar', ""victim'"", 'system']","['download', 'execut', 'addit', 'malwar']"
86,86,File,the downloader execute an encrypted malicious payload,1,downloader will decrypt and execute Depending on the way,download execut encrypt malici payload,download decrypt execut depend way,"['download', 'execut', 'encrypt', 'malici', 'payload']","['download', 'decrypt', 'execut', 'depend', 'way']"
87,87,File,written two additional files to the victim's hard disk,1,two additional files being written to the victim's hard,written two addit file victim' hard disk,two addit file written victim' hard,"['written', 'two', 'addit', 'file', ""victim'"", 'hard', 'disk']","['two', 'addit', 'file', 'written', ""victim'"", 'hard']"
88,88,File,BE2 stores the downloaded plugins,1,the APT-specific BE2 now stores the downloaded plugins in,be2 store download plugin,apt-specif be2 store download plugin,"['be2', 'store', 'download', 'plugin']","['apt-specif', 'be2', 'store', 'download', 'plugin']"
89,89,File,it writes an encrypted Visual Basic Script,1,"on disk. Instead, it writes an encrypted Visual Basic",write encrypt visual basic script,disk. instead write encrypt visual basic,"['write', 'encrypt', 'visual', 'basic', 'script']","['disk.', 'instead', 'write', 'encrypt', 'visual', 'basic']"
90,90,File,runs it,1,Visual Basic Script and runs it. Atlas exploit payload,run,visual basic script run it. atla exploit payload,['run'],"['visual', 'basic', 'script', 'run', 'it.', 'atla', 'exploit', 'payload']"
91,91,File,"The malware configuration file is written to the ""SYSTEM"" folder (as opposed to SYSTEM32)",1,"The malware configuration file is written to the ""SYSTEM"" folder",malwar configur file written system folder oppos system32,malwar configur file written system folder,"['malwar', 'configur', 'file', 'written', 'system', 'folder', 'oppos', 'system32']","['malwar', 'configur', 'file', 'written', 'system', 'folder']"
92,92,File,suspected Iranian actors destroyed data on with thousands of computers the Shamoon virus,1,suspected Iranian actors have destroyed data on thousands of,suspect iranian actor destroy data thousand comput shamoon viru,suspect iranian actor destroy data thousand,"['suspect', 'iranian', 'actor', 'destroy', 'data', 'thousand', 'comput', 'shamoon', 'viru']","['suspect', 'iranian', 'actor', 'destroy', 'data', 'thousand']"
93,93,File,the Shamoon attacks wiped computers in Saudi Arabia and Qatar,1,"the Shamoon attacks, which wiped computers in Saudi Arabia",shamoon attack wipe comput saudi arabia qatar,shamoon attack wipe comput saudi arabia,"['shamoon', 'attack', 'wipe', 'comput', 'saudi', 'arabia', 'qatar']","['shamoon', 'attack', 'wipe', 'comput', 'saudi', 'arabia']"
94,94,File,The following files are written to in disk this location,1,Data\IntelRapidStart\. The following files are written to disk in this,follow file written disk thi locat,follow file written disk thi,"['follow', 'file', 'written', 'disk', 'thi', 'locat']","['follow', 'file', 'written', 'disk', 'thi']"
95,95,File,It AppTransferWiz.dll launches via the following command,1,modules. It drops and launches AppTransferWiz.dll via the following,apptransferwiz.dl launch via follow command,modules. drop launch apptransferwiz.dl via follow,"['apptransferwiz.dl', 'launch', 'via', 'follow', 'command']","['modules.', 'drop', 'launch', 'apptransferwiz.dl', 'via', 'follow']"
96,96,File,Harvested data written to on disk the local host,1,data is encrypted and written to disk on the,harvest data written disk local host,data encrypt written disk,"['harvest', 'data', 'written', 'disk', 'local', 'host']","['data', 'encrypt', 'written', 'disk']"
97,97,File,an executable write to disk,1,"that, upon execution, will write to disk and execute",execut write disk,upon execut write disk execut,"['execut', 'write', 'disk']","['upon', 'execut', 'write', 'disk', 'execut']"
98,98,File,an executable CozyDuke execute,1,"write to disk and execute CozyDuke, while at the",execut cozyduk execut,write disk execut cozyduk,"['execut', 'cozyduk', 'execut']","['write', 'disk', 'execut', 'cozyduk']"
99,99,File,CozyDuke executed droppers for DLL files reminiscent of OnionDuke,1,"some instances, downloaded and executed droppers for DLL files",cozyduk execut dropper dll file reminisc onionduk,instanc download execut dropper dll file,"['cozyduk', 'execut', 'dropper', 'dll', 'file', 'reminisc', 'onionduk']","['instanc', 'download', 'execut', 'dropper', 'dll', 'file']"
100,100,File,it write two files to disk,1,"Upon execution, it will write two files to disk.",write two file disk,upon execut write two file disk.,"['write', 'two', 'file', 'disk']","['upon', 'execut', 'write', 'two', 'file', 'disk.']"
101,101,File,This dropper write to the main CozyDuke components encrypted configuration file used by CozyDuke disk,1,will then proceed to write to disk the main,thi dropper write main cozyduk compon encrypt configur file use cozyduk disk,proceed write disk main,"['thi', 'dropper', 'write', 'main', 'cozyduk', 'compon', 'encrypt', 'configur', 'file', 'use', 'cozyduk', 'disk']","['proceed', 'write', 'disk', 'main']"
102,102,File,The dropper write the CozyDuke components to the specified location,1,will then proceed to write the CozyDuke components to,dropper write cozyduk compon specifi locat,proceed write cozyduk compon,"['dropper', 'write', 'cozyduk', 'compon', 'specifi', 'locat']","['proceed', 'write', 'cozyduk', 'compon']"
103,103,File,The dropper copy the system file rundll32.exe to the install location for CozyDuke,1,The dropper will additionally copy the system file rundll32.exe,dropper copi system file rundll32.ex instal locat cozyduk,dropper addit copi system file rundll32.ex,"['dropper', 'copi', 'system', 'file', 'rundll32.ex', 'instal', 'locat', 'cozyduk']","['dropper', 'addit', 'copi', 'system', 'file', 'rundll32.ex']"
104,104,File,These tasks involve the execution of modules or executables providing additional functionality,1,tasks. These tasks usually involve the execution of modules,task involv execut modul execut provid addit function,tasks. task usual involv execut modul,"['task', 'involv', 'execut', 'modul', 'execut', 'provid', 'addit', 'function']","['tasks.', 'task', 'usual', 'involv', 'execut', 'modul']"
105,105,File,CozyDuke PE executable files write to disk,1,files that CozyDuke will write to disk and execute,cozyduk pe execut file write disk,file cozyduk write disk execut,"['cozyduk', 'pe', 'execut', 'file', 'write', 'disk']","['file', 'cozyduk', 'write', 'disk', 'execut']"
106,106,File,CozyDuke PE executable files execute on the infected host,1,write to disk and execute on the infected host.,cozyduk pe execut file execut infect host,write disk execut infect host.,"['cozyduk', 'pe', 'execut', 'file', 'execut', 'infect', 'host']","['write', 'disk', 'execut', 'infect', 'host.']"
107,107,File,execute file,1,"execute commands via PowerShell, execute a direct command or",execut file,execut command via powershel execut direct command,"['execut', 'file']","['execut', 'command', 'via', 'powershel', 'execut', 'direct', 'command']"
108,108,File,save an executable to disk,1,"command or file, or save an executable to disk",save execut disk,command file save execut disk,"['save', 'execut', 'disk']","['command', 'file', 'save', 'execut', 'disk']"
109,109,File,execute it,1,"executable to disk and execute it. In several cases,",execut,execut disk execut it. sever case,['execut'],"['execut', 'disk', 'execut', 'it.', 'sever', 'case']"
