,Unnamed: 0,label,text-rel,label_num,text-neigh,text-rel-processed,text-neigh-processed,text-rel-tokens,text-neigh-tokens
10,10,NoOther,copying all the necessary logs into the shared virtual partition,0,to the driver by copying all the necessary logs,copi necessari log share virtual partit,driver copi necessari log,"['copi', 'necessari', 'log', 'share', 'virtual', 'partit']","['driver', 'copi', 'necessari', 'log']"
11,11,NoOther,executed the dropper,0,allowed to run. Once executed the dropper installs the,execut dropper,allow run. onc execut dropper instal,"['execut', 'dropper']","['allow', 'run.', 'onc', 'execut', 'dropper', 'instal']"
12,12,NoOther,The analysed 32-bit dropper creates a driver in the following location,0,The analysed 32-bit dropper creates a driver in the,analys 32-bit dropper creat driver follow locat,analys 32-bit dropper creat driver,"['analys', '32-bit', 'dropper', 'creat', 'driver', 'follow', 'locat']","['analys', '32-bit', 'dropper', 'creat', 'driver']"
13,13,NoOther,The installed hook handler checks if the name of the device is netbt or afd,0,original API and then checks if the name of,instal hook handler check name devic netbt afd,origin api check name,"['instal', 'hook', 'handler', 'check', 'name', 'devic', 'netbt', 'afd']","['origin', 'api', 'check', 'name']"
14,14,NoOther,the DLL log the data into the log files,0,that the DLL could log the data into the,dll log data log file,dll could log data,"['dll', 'log', 'data', 'log', 'file']","['dll', 'could', 'log', 'data']"
15,15,NoOther,is written that data to the volume,0,encryption/decryption whenever that data is written to or read from,written data volum,system-path  whenev data written read,"['written', 'data', 'volum']","['system-path', 'whenev', 'data', 'written', 'read']"
16,16,NoOther,read that data from the volume,0,is written to or read from the volume. The,read data volum,written read volume.,"['read', 'data', 'volum']","['written', 'read', 'volume.']"
17,17,NoOther,is saved the data into the volume Hd1,0,"result, whenever the data is saved into the volume Hd1,",save data volum hd1,result whenev data save volum hd1,"['save', 'data', 'volum', 'hd1']","['result', 'whenev', 'data', 'save', 'volum', 'hd1']"
18,18,NoOther,it stores its message queue in a file called,0,"it. For example, it stores its message queue in",store messag queue file call,it. exampl store messag queue,"['store', 'messag', 'queue', 'file', 'call']","['it.', 'exampl', 'store', 'messag', 'queue']"
19,19,NoOther,the Snake driver store its data and additional files on it,0,uses virtual volumes to store its data and additional,snake driver store data addit file,use virtual volum store data addit,"['snake', 'driver', 'store', 'data', 'addit', 'file']","['use', 'virtual', 'volum', 'store', 'data', 'addit']"
20,20,NoOther,is created,0,"64-bit unsigned driver file is created as usual: %windows%\$NtUninstallQ817473$\fdisk.sys However,",creat,64-bit unsign driver file creat usual: hash-code howev,['creat'],"['64-bit', 'unsign', 'driver', 'file', 'creat', 'usual:', 'hash-code', 'howev']"
21,21,NoOther,the dropper copies itself,0,"that, the dropper first copies itself as: %windows%\$NtUninstallQ817473$\fdisk_mon.exe The",dropper copi,dropper first copi as: hash-code,"['dropper', 'copi']","['dropper', 'first', 'copi', 'as:', 'hash-code']"
22,22,NoOther,the Snake dropper loads a copy of the NT core image (ntoskrnl.exe),0,"memory, the Snake dropper loads a copy of the",snake dropper load copi nt core imag ntoskrnl.ex,memori snake dropper load copi,"['snake', 'dropper', 'load', 'copi', 'nt', 'core', 'imag', 'ntoskrnl.ex']","['memori', 'snake', 'dropper', 'load', 'copi']"
23,23,NoOther,the Snake dropper SepInitializeCodeIntegrity() within it locates the import of CI.dll’s function CiInitialize(),0,"NT core image (ntoskrnl.exe), locates the import of CI.dll’s",snake dropper within locat import  dll-file function ciiniti,nt core imag ntoskrnl.ex locat import  dll-file,"['snake', 'dropper', 'within', 'locat', 'import', 'dll-file', 'function', 'ciiniti']","['nt', 'core', 'imag', 'ntoskrnl.ex', 'locat', 'import', 'dll-file']"
24,24,NoOther,it parses the function’s code to locate the offset of the variable,0,within it. Then it parses the function’s code to,pars function code locat offset variabl,within it. pars function code,"['pars', 'function', 'code', 'locat', 'offset', 'variabl']","['within', 'it.', 'pars', 'function', 'code']"
25,25,NoOther,It MS09-025 and MS10-015 exploits running on the target system,0,to do this by running MS09-025 and MS10-015 exploits,ms09-025 ms10-015 exploit run target system,thi run ms09-025 ms10-015 exploit,"['ms09-025', 'ms10-015', 'exploit', 'run', 'target', 'system']","['thi', 'run', 'ms09-025', 'ms10-015', 'exploit']"
26,26,NoOther,is written the initial message queue file into the virtual volume,0,message queue file which is written into the virtual volume.,written initi messag queue file virtual volum,messag queue file written virtual volume.,"['written', 'initi', 'messag', 'queue', 'file', 'virtual', 'volum']","['messag', 'queue', 'file', 'written', 'virtual', 'volume.']"
27,27,NoOther,it reads configuration parameters from the configuration queue,0,"the DLL activates, it reads configuration parameters from the",read configur paramet configur queue,dll activ read configur paramet,"['read', 'configur', 'paramet', 'configur', 'queue']","['dll', 'activ', 'read', 'configur', 'paramet']"
28,28,NoOther,the driver creates the configuration queue on a virtual volume,0,"queue, that the driver creates on a virtual volume.",driver creat configur queue virtual volum,queue driver creat virtual volume.,"['driver', 'creat', 'configur', 'queue', 'virtual', 'volum']","['queue', 'driver', 'creat', 'virtual', 'volume.']"
29,29,NoOther,The data saved into a configuration file %system%\vtmon.bin,0,retrieves is encrypted and saved into a configuration file,data save configur file system-path  bin-file some-variable,retriev encrypt save configur file,"['data', 'save', 'configur', 'file', 'system-path', 'bin-file', 'some-variable']","['retriev', 'encrypt', 'save', 'configur', 'file']"
30,30,NoOther,the latest samples of Snake Log files created,0,variants: 1dM3uu4j7Fw4sjnbcwlDqet4F7JyuUi4m5Imnxl1pzxI6as80cbLnmz54cs5Ldn4ri3do5L6gs923HL34x2f5cvd0fk6c1a0s Log files created by the latest samples,latest sampl snake log file creat,variants: hash-code log file creat latest sampl,"['latest', 'sampl', 'snake', 'log', 'file', 'creat']","['variants:', 'hash-code', 'log', 'file', 'creat', 'latest', 'sampl']"
31,31,NoOther,the injected module write into files the sensitive registry hives,0,injected module could still write into files and into,inject modul write file sensit registri hive,inject modul could still write file,"['inject', 'modul', 'write', 'file', 'sensit', 'registri', 'hive']","['inject', 'modul', 'could', 'still', 'write', 'file']"
32,32,NoOther,it The logs and dumps creates on the hidden virtual volumes,0,logs and dumps it creates on the hidden virtual,log dump creat hidden virtual volum,log dump creat hidden virtual,"['log', 'dump', 'creat', 'hidden', 'virtual', 'volum']","['log', 'dump', 'creat', 'hidden', 'virtual']"
33,33,NoOther,written a binary executable file to the disk,0,"file, which is then written to the disk and",written binari execut file disk,file written disk,"['written', 'binari', 'execut', 'file', 'disk']","['file', 'written', 'disk']"
34,34,NoOther,executed a binary executable file,0,to the disk and executed The second set of,execut binari execut file,disk execut second set,"['execut', 'binari', 'execut', 'file']","['disk', 'execut', 'second', 'set']"
35,35,NoOther,the dropper creates an additional file called winview.ocx,0,"than 3.26, the dropper creates an additional file called",dropper creat addit file call  ocx-file,3.26 dropper creat addit file call,"['dropper', 'creat', 'addit', 'file', 'call', 'ocx-file']","['3.26', 'dropper', 'creat', 'addit', 'file', 'call']"
36,36,NoOther,The file is xored with the following obfuscation key,0,the past. The file is xored with the following obfuscation,file xore follow obfusc key,past. file xore follow obfusc,"['file', 'xore', 'follow', 'obfusc', 'key']","['past.', 'file', 'xore', 'follow', 'obfusc']"
37,37,NoOther,the malware checks if an older version is installed on the system,0,notice that the malware checks if an older version,malwar check older version instal system,notic malwar check older version,"['malwar', 'check', 'older', 'version', 'instal', 'system']","['notic', 'malwar', 'check', 'older', 'version']"
38,38,NoOther,the dropper removes the older version,0,"the case, the dropper removes the older version. In",dropper remov older version,case dropper remov older version.,"['dropper', 'remov', 'older', 'version']","['case', 'dropper', 'remov', 'older', 'version.']"
39,39,NoOther,Uroburos was found on a version of Agent.BTZ a system,0,a version of Agent.BTZ was found on a system. flow,uroburo wa found version  btz-file system,version  btz-file wa found system. flow,"['uroburo', 'wa', 'found', 'version', 'btz-file', 'system']","['version', 'btz-file', 'wa', 'found', 'system.', 'flow']"
40,40,NoOther,Two log files are created during the malware execution,0,pipe. Two log files are created during the malware execution:,two log file creat dure malwar execut,pipe. two log file creat dure malwar execution:,"['two', 'log', 'file', 'creat', 'dure', 'malwar', 'execut']","['pipe.', 'two', 'log', 'file', 'creat', 'dure', 'malwar', 'execution:']"
41,41,NoOther,is only executed in the main part (payload) of the malware explorer.exe,0,"(payload) of the malware is only executed in explorer.exe. Furthermore, the",onli execut main part payload malwar explorer.ex,payload malwar onli execut  exe-file furthermor,"['onli', 'execut', 'main', 'part', 'payload', 'malwar', 'explorer.ex']","['payload', 'malwar', 'onli', 'execut', 'exe-file', 'furthermor']"
42,42,NoOther,the attacker delete files,0,"to upload, download, enumerate, delete search, and execute files",attack delet file,upload download enumer delet search execut file,"['attack', 'delet', 'file']","['upload', 'download', 'enumer', 'delet', 'search', 'execut', 'file']"
43,43,NoOther,the attacker search files,0,"upload, download, enumerate, delete, search and execute files as",attack search file,upload download enumer delet search execut file,"['attack', 'search', 'file']","['upload', 'download', 'enumer', 'delet', 'search', 'execut', 'file']"
44,44,NoOther,the attacker execute files,0,"enumerate, delete, search, and execute files as well as",attack execut file,enumer delet search execut file well,"['attack', 'execut', 'file']","['enumer', 'delet', 'search', 'execut', 'file', 'well']"
45,45,NoOther,the backdoor load the legitimate system32\msacm32.drv file,0,the backdoor will also load the legitimate system32\msacm32.drv file,backdoor load legitim system-path  file drv-file,backdoor also load legitim system-path  file drv-file,"['backdoor', 'load', 'legitim', 'system-path', 'file', 'drv-file']","['backdoor', 'also', 'load', 'legitim', 'system-path', 'file', 'drv-file']"
46,46,NoOther,it cleans traces of the initial loader,0,"stage When launched, it cleans traces of the initial",clean trace initi loader,stage launch clean trace initi,"['clean', 'trace', 'initi', 'loader']","['stage', 'launch', 'clean', 'trace', 'initi']"
47,47,NoOther,it loads the next part of the toolkit,0,"of the initial loader, loads the next part of",load next part toolkit,initi loader load next part,"['load', 'next', 'part', 'toolkit']","['initi', 'loader', 'load', 'next', 'part']"
48,48,NoOther,Stage 2 On disinfect the compromised device failure,0,2 is able to disinfect the compromised device. The,stage disinfect compromis devic failur,abl disinfect compromis device.,"['stage', 'disinfect', 'compromis', 'devic', 'failur']","['abl', 'disinfect', 'compromis', 'device.']"
49,49,NoOther,"The malware zeroes out its PE (Portable Executable, the Windows executable format) headers in memory",0,"compromised device. The malware zeroes out its PE (Portable Executable,",malwar zero pe portabl execut window execut format header memori,compromis device. malwar zero pe portabl execut,"['malwar', 'zero', 'pe', 'portabl', 'execut', 'window', 'execut', 'format', 'header', 'memori']","['compromis', 'device.', 'malwar', 'zero', 'pe', 'portabl', 'execut']"
50,50,NoOther,The malware replacing MZ with its own magic marker 0xfedcbafe,0,"format) headers in memory, replacing MZ with its own",malwar replac mz magic marker 0xfedcbaf,format header memori replac mz,"['malwar', 'replac', 'mz', 'magic', 'marker', '0xfedcbaf']","['format', 'header', 'memori', 'replac', 'mz']"
51,51,NoOther,It initializes the core components of the architecture,0,in Windows’ kernel. It initializes the core components of,initi core compon architectur,window kernel. initi core compon,"['initi', 'core', 'compon', 'architectur']","['window', 'kernel.', 'initi', 'core', 'compon']"
52,52,NoOther,It loads the next parts of the malware,0,of the architecture and loads the next parts of,load next part malwar,architectur load next part,"['load', 'next', 'part', 'malwar']","['architectur', 'load', 'next', 'part']"
53,53,NoOther,a Regin driver loaded a sample,0,it might have been loaded by a Regin driver,regin driver load sampl,might load regin driver,"['regin', 'driver', 'load', 'sampl']","['might', 'load', 'regin', 'driver']"
54,54,NoOther,programs access information stored in the computer’s memory,0,the In order to access information stored in the,program access inform store comput memori,order access inform store,"['program', 'access', 'inform', 'store', 'comput', 'memori']","['order', 'access', 'inform', 'store']"
55,55,NoOther,was dumped the file from memory,0,hypothesis that the file was dumped from memory during a,wa dump file memori,hypothesi file wa dump memori dure,"['wa', 'dump', 'file', 'memori']","['hypothesi', 'file', 'wa', 'dump', 'memori', 'dure']"
56,56,NoOther,the driver zeroes the content,0,"using ExFreePool(), the driver zeroes the content, probably to",driver zero content,use exfreepool driver zero content probabl,"['driver', 'zero', 'content']","['use', 'exfreepool', 'driver', 'zero', 'content', 'probabl']"
57,57,NoOther,the driver remove remaining traces and artifacts,0,sequence of steps to remove remaining traces and artifacts.,driver remov remain trace artifact,sequenc step remov remain trace artifacts.,"['driver', 'remov', 'remain', 'trace', 'artifact']","['sequenc', 'step', 'remov', 'remain', 'trace', 'artifacts.']"
58,58,NoOther,The second thread executing stage two payloads,0,responsible for downloading and executing stage two payloads. Messages,second thread execut stage two payload,respons download execut stage two payloads. messag,"['second', 'thread', 'execut', 'stage', 'two', 'payload']","['respons', 'download', 'execut', 'stage', 'two', 'payloads.', 'messag']"
59,59,NoOther,be written a DLL or EXE to disk,0,or EXE that would be written to disk and executed.,written dll exe disk,exe would written disk executed.,"['written', 'dll', 'exe', 'disk']","['exe', 'would', 'written', 'disk', 'executed.']"
60,60,NoOther,executed a DLL or EXE,0,written to disk and executed 8: CORESHELL Command ID,execut dll exe,written disk execut 8: coreshel command id,"['execut', 'dll', 'exe']","['written', 'disk', 'execut', '8:', 'coreshel', 'command', 'id']"
61,61,NoOther,CHOPSTICK creates a hidden file that may be named %ALLUSERSPROFILE%\edg6EF885E2.tmp for temporary storage,0,"collecting host information, CHOPSTICK creates a hidden file that",chopstick creat hidden file may name hash-code temporari storag,collect host inform chopstick creat hidden file,"['chopstick', 'creat', 'hidden', 'file', 'may', 'name', 'hash-code', 'temporari', 'storag']","['collect', 'host', 'inform', 'chopstick', 'creat', 'hidden', 'file']"
62,62,NoOther,CHOPSTICK stores the encrypted message in an edg6EF885E2.tmp temporary file,0,"using RC4, and then stores the encrypted message in",chopstick store encrypt messag  tmp-file temporari file,use rc4 store encrypt messag,"['chopstick', 'store', 'encrypt', 'messag', 'tmp-file', 'temporari', 'file']","['use', 'rc4', 'store', 'encrypt', 'messag']"
63,63,NoOther,CHOPSTICK deletes the file,0,"edg6EF885E2.tmp are uploaded, CHOPSTICK deletes the file. Figure 13",chopstick delet file, tmp-file upload chopstick delet file. figur 13,"['chopstick', 'delet', 'file']","['tmp-file', 'upload', 'chopstick', 'delet', 'file.', 'figur', '13']"
64,64,NoOther,PSM module save the content of Dino modules in an encrypted file,0,the PSM module to save the content of Dino,psm modul save content dino modul encrypt file,psm modul save content dino,"['psm', 'modul', 'save', 'content', 'dino', 'modul', 'encrypt', 'file']","['psm', 'modul', 'save', 'content', 'dino']"
65,65,NoOther,the operators look for files,0,allows the operators to look for files very precisely. For,oper look file,allow oper look file veri precisely.,"['oper', 'look', 'file']","['allow', 'oper', 'look', 'file', 'veri', 'precisely.']"
66,66,NoOther,ramFS offering a disposable execution environment to the operators,0,"executed on the machine, offering a disposable execution environment",ramf offer dispos execut environ oper,execut machin offer dispos execut environ,"['ramf', 'offer', 'dispos', 'execut', 'environ', 'oper']","['execut', 'machin', 'offer', 'dispos', 'execut', 'environ']"
67,67,NoOther,it executes files,0,"(it downloads, and then executes files, as it offers",execut file,download execut file offer,"['execut', 'file']","['download', 'execut', 'file', 'offer']"
68,68,NoOther,an attacker overwrite the vftable pointer of a Flash object to redirect code execution,0,permits an attacker to overwrite the vftable pointer of,attack overwrit vftabl pointer flash object redirect code execut,permit attack overwrit vftabl pointer,"['attack', 'overwrit', 'vftabl', 'pointer', 'flash', 'object', 'redirect', 'code', 'execut']","['permit', 'attack', 'overwrit', 'vftabl', 'pointer']"
69,69,NoOther,it CreateFileA and WriteFile functions writes the file to with disk,0,InternetReadFile functions. Then it writes the file to disk,createfilea writefil function write file disk,internetreadfil functions. write file disk,"['createfilea', 'writefil', 'function', 'write', 'file', 'disk']","['internetreadfil', 'functions.', 'write', 'file', 'disk']"
70,70,NoOther,it runs the file using the WinExec function,0,"WriteFile functions. Finally, it runs the file using the",run file use winexec function,writefil functions. final run file use,"['run', 'file', 'use', 'winexec', 'function']","['writefil', 'functions.', 'final', 'run', 'file', 'use']"
71,71,NoOther,attack executing designated programs,0,"downloading and uploading files, executing designated programs, injecting keyboard",attack execut design program,download upload file execut design program inject keyboard,"['attack', 'execut', 'design', 'program']","['download', 'upload', 'file', 'execut', 'design', 'program', 'inject', 'keyboard']"
72,72,NoOther,a custom macro set automatically run upon document startup,0,custom macro set to automatically run upon document startup. Under,custom macro set automat run upon document startup,custom macro set automat run upon document startup.,"['custom', 'macro', 'set', 'automat', 'run', 'upon', 'document', 'startup']","['custom', 'macro', 'set', 'automat', 'run', 'upon', 'document', 'startup.']"
73,73,NoOther,a module writes it to disk in a special folder,0,a module encrypts and writes it to disk in,modul write disk special folder,modul encrypt write disk,"['modul', 'write', 'disk', 'special', 'folder']","['modul', 'encrypt', 'write', 'disk']"
74,74,NoOther,It over- writes the files,0,"C&C server. It then overwrites the files, renames them",over- write file,c&c server. overwrit file renam,"['over-', 'write', 'file']","['c&c', 'server.', 'overwrit', 'file', 'renam']"
75,75,NoOther,It renames them several times,0,"over- writes the files, renames them several times, and",renam sever time,over- write file renam sever time,"['renam', 'sever', 'time']","['over-', 'write', 'file', 'renam', 'sever', 'time']"
76,76,NoOther,It deletes them,0,"them several times, and deletes them, in an apparent",delet,sever time delet appar,['delet'],"['sever', 'time', 'delet', 'appar']"
77,77,NoOther,The exploit loaded shellcode,0,the document. The exploit loaded shellcode that downloaded a,exploit load shellcod,document. exploit load shellcod download,"['exploit', 'load', 'shellcod']","['document.', 'exploit', 'load', 'shellcod', 'download']"
78,78,NoOther,the FinSpy samples used in Bahrain overwrite the hard disk’s boot sector,0,samples used in Bahrain overwrite the hard disk’s boot,finspi sampl use bahrain overwrit hard disk boot sector,sampl use bahrain overwrit hard disk boot,"['finspi', 'sampl', 'use', 'bahrain', 'overwrit', 'hard', 'disk', 'boot', 'sector']","['sampl', 'use', 'bahrain', 'overwrit', 'hard', 'disk', 'boot']"
79,79,NoOther,an embedded Flash file that exploited a vulnerability fixed in Adobe Flash 11.4 loading shell code,0,"in Adobe Flash 11.4, loading shell code to download",embed flash file exploit vulner fix adob flash 11.4 load shell code,adob flash 11.4 load shell code download,"['embed', 'flash', 'file', 'exploit', 'vulner', 'fix', 'adob', 'flash', '11.4', 'load', 'shell', 'code']","['adob', 'flash', '11.4', 'load', 'shell', 'code', 'download']"
80,80,NoOther,a compiled Visual Basic project loads an executable packed with UPX via the RunPE method,0,Visual Basic project that loads via the RunPE method,compil visual basic project load execut pack upx via runp method,visual basic project load via runp method,"['compil', 'visual', 'basic', 'project', 'load', 'execut', 'pack', 'upx', 'via', 'runp', 'method']","['visual', 'basic', 'project', 'load', 'via', 'runp', 'method']"
81,81,NoOther,The .scr file ran both the bait document and the payload,0,archive that decompressed and ran both the bait document,.scr file ran bait document payload,archiv decompress ran bait document,"['.scr', 'file', 'ran', 'bait', 'document', 'payload']","['archiv', 'decompress', 'ran', 'bait', 'document']"
82,82,NoOther,the downloader execute additional malware on the victim's system,0,is to download and execute additional malware on the,download execut addit malwar victim' system,download execut addit malwar,"['download', 'execut', 'addit', 'malwar', ""victim'"", 'system']","['download', 'execut', 'addit', 'malwar']"
83,83,NoOther,the downloader execute an encrypted malicious payload,0,downloader will decrypt and execute Depending on the way,download execut encrypt malici payload,download decrypt execut depend way,"['download', 'execut', 'encrypt', 'malici', 'payload']","['download', 'decrypt', 'execut', 'depend', 'way']"
84,84,NoOther,written two additional files to the victim's hard disk,0,two additional files being written to the victim's hard,written two addit file victim' hard disk,two addit file written victim' hard,"['written', 'two', 'addit', 'file', ""victim'"", 'hard', 'disk']","['two', 'addit', 'file', 'written', ""victim'"", 'hard']"
85,85,NoOther,the downloader execute additional malware on the victim's system,0,is to download and execute additional malware on the,download execut addit malwar victim' system,download execut addit malwar,"['download', 'execut', 'addit', 'malwar', ""victim'"", 'system']","['download', 'execut', 'addit', 'malwar']"
86,86,NoOther,the downloader execute an encrypted malicious payload,0,downloader will decrypt and execute Depending on the way,download execut encrypt malici payload,download decrypt execut depend way,"['download', 'execut', 'encrypt', 'malici', 'payload']","['download', 'decrypt', 'execut', 'depend', 'way']"
87,87,NoOther,written two additional files to the victim's hard disk,0,two additional files being written to the victim's hard,written two addit file victim' hard disk,two addit file written victim' hard,"['written', 'two', 'addit', 'file', ""victim'"", 'hard', 'disk']","['two', 'addit', 'file', 'written', ""victim'"", 'hard']"
88,88,NoOther,BE2 stores the downloaded plugins,0,the APT-specific BE2 now stores the downloaded plugins in,be2 store download plugin,apt-specif be2 store download plugin,"['be2', 'store', 'download', 'plugin']","['apt-specif', 'be2', 'store', 'download', 'plugin']"
89,89,NoOther,it writes an encrypted Visual Basic Script,0,"on disk. Instead, it writes an encrypted Visual Basic",write encrypt visual basic script,disk. instead write encrypt visual basic,"['write', 'encrypt', 'visual', 'basic', 'script']","['disk.', 'instead', 'write', 'encrypt', 'visual', 'basic']"
90,90,NoOther,runs it,0,Visual Basic Script and runs it. Atlas exploit payload,run,visual basic script run it. atla exploit payload,['run'],"['visual', 'basic', 'script', 'run', 'it.', 'atla', 'exploit', 'payload']"
91,91,NoOther,"The malware configuration file is written to the ""SYSTEM"" folder (as opposed to SYSTEM32)",0,"The malware configuration file is written to the ""SYSTEM"" folder",malwar configur file written system folder oppos system32,malwar configur file written system folder,"['malwar', 'configur', 'file', 'written', 'system', 'folder', 'oppos', 'system32']","['malwar', 'configur', 'file', 'written', 'system', 'folder']"
92,92,NoOther,suspected Iranian actors destroyed data on with thousands of computers the Shamoon virus,0,suspected Iranian actors have destroyed data on thousands of,suspect iranian actor destroy data thousand comput shamoon viru,suspect iranian actor destroy data thousand,"['suspect', 'iranian', 'actor', 'destroy', 'data', 'thousand', 'comput', 'shamoon', 'viru']","['suspect', 'iranian', 'actor', 'destroy', 'data', 'thousand']"
93,93,NoOther,the Shamoon attacks wiped computers in Saudi Arabia and Qatar,0,"the Shamoon attacks, which wiped computers in Saudi Arabia",shamoon attack wipe comput saudi arabia qatar,shamoon attack wipe comput saudi arabia,"['shamoon', 'attack', 'wipe', 'comput', 'saudi', 'arabia', 'qatar']","['shamoon', 'attack', 'wipe', 'comput', 'saudi', 'arabia']"
94,94,NoOther,The following files are written to in disk this location,0,Data\IntelRapidStart\. The following files are written to disk in this,follow file written disk thi locat,follow file written disk thi,"['follow', 'file', 'written', 'disk', 'thi', 'locat']","['follow', 'file', 'written', 'disk', 'thi']"
95,95,NoOther,It AppTransferWiz.dll launches via the following command,0,modules. It drops and launches AppTransferWiz.dll via the following,apptransferwiz.dl launch via follow command,modules. drop launch apptransferwiz.dl via follow,"['apptransferwiz.dl', 'launch', 'via', 'follow', 'command']","['modules.', 'drop', 'launch', 'apptransferwiz.dl', 'via', 'follow']"
96,96,NoOther,Harvested data written to on disk the local host,0,data is encrypted and written to disk on the,harvest data written disk local host,data encrypt written disk,"['harvest', 'data', 'written', 'disk', 'local', 'host']","['data', 'encrypt', 'written', 'disk']"
97,97,NoOther,an executable write to disk,0,"that, upon execution, will write to disk and execute",execut write disk,upon execut write disk execut,"['execut', 'write', 'disk']","['upon', 'execut', 'write', 'disk', 'execut']"
98,98,NoOther,an executable CozyDuke execute,0,"write to disk and execute CozyDuke, while at the",execut cozyduk execut,write disk execut cozyduk,"['execut', 'cozyduk', 'execut']","['write', 'disk', 'execut', 'cozyduk']"
99,99,NoOther,CozyDuke executed droppers for DLL files reminiscent of OnionDuke,0,"some instances, downloaded and executed droppers for DLL files",cozyduk execut dropper dll file reminisc onionduk,instanc download execut dropper dll file,"['cozyduk', 'execut', 'dropper', 'dll', 'file', 'reminisc', 'onionduk']","['instanc', 'download', 'execut', 'dropper', 'dll', 'file']"
100,100,NoOther,it write two files to disk,0,"Upon execution, it will write two files to disk.",write two file disk,upon execut write two file disk.,"['write', 'two', 'file', 'disk']","['upon', 'execut', 'write', 'two', 'file', 'disk.']"
101,101,NoOther,This dropper write to the main CozyDuke components encrypted configuration file used by CozyDuke disk,0,will then proceed to write to disk the main,thi dropper write main cozyduk compon encrypt configur file use cozyduk disk,proceed write disk main,"['thi', 'dropper', 'write', 'main', 'cozyduk', 'compon', 'encrypt', 'configur', 'file', 'use', 'cozyduk', 'disk']","['proceed', 'write', 'disk', 'main']"
102,102,NoOther,The dropper write the CozyDuke components to the specified location,0,will then proceed to write the CozyDuke components to,dropper write cozyduk compon specifi locat,proceed write cozyduk compon,"['dropper', 'write', 'cozyduk', 'compon', 'specifi', 'locat']","['proceed', 'write', 'cozyduk', 'compon']"
103,103,NoOther,The dropper copy the system file rundll32.exe to the install location for CozyDuke,0,The dropper will additionally copy the system file rundll32.exe,dropper copi system file rundll32.ex instal locat cozyduk,dropper addit copi system file rundll32.ex,"['dropper', 'copi', 'system', 'file', 'rundll32.ex', 'instal', 'locat', 'cozyduk']","['dropper', 'addit', 'copi', 'system', 'file', 'rundll32.ex']"
104,104,NoOther,These tasks involve the execution of modules or executables providing additional functionality,0,tasks. These tasks usually involve the execution of modules,task involv execut modul execut provid addit function,tasks. task usual involv execut modul,"['task', 'involv', 'execut', 'modul', 'execut', 'provid', 'addit', 'function']","['tasks.', 'task', 'usual', 'involv', 'execut', 'modul']"
105,105,NoOther,CozyDuke PE executable files write to disk,0,files that CozyDuke will write to disk and execute,cozyduk pe execut file write disk,file cozyduk write disk execut,"['cozyduk', 'pe', 'execut', 'file', 'write', 'disk']","['file', 'cozyduk', 'write', 'disk', 'execut']"
106,106,NoOther,CozyDuke PE executable files execute on the infected host,0,write to disk and execute on the infected host.,cozyduk pe execut file execut infect host,write disk execut infect host.,"['cozyduk', 'pe', 'execut', 'file', 'execut', 'infect', 'host']","['write', 'disk', 'execut', 'infect', 'host.']"
