,text-rel,token,ActionName,Capability
46,the Snake driver load the DLL module into the usermode processes,load,Other,other
47,the Snake driver use that module for the communications,use,-,command_and_control
48,the driver creates device named \Device\vstor32 with a symbolic link \DosDevices\vstor32,creates,File,-
49,This device is used for userland/kernel communications,is used,-,command_and_control
50,it drops a DLL into the %windows% directory,drops,Other,-
51,XOR 0xAA applied on top of it,applied,-,other
52,is dropped the DLL under a random name or a hard-coded name,is dropped,Other,-
53,be injected into this DLL the user-mode processes,be injected,Other,other
54,DLL modules be installed as a service,be installed,Other,-
55,DLL modules be run within taskhost.exe or services.exe processes,be run,Other,other
56,the driver sets up the hooks for the following kernel-mode APIs,sets up,Other,-
57,it PsSetCreateProcessNotifyRoutine() calls,calls,Other,-
58,be notified whenever it a new process is started,be notified,Other,other
59,Snake stay persistent on a system,stay,-,other
60,Snake infect any newly created processes,infect,-,other
61,Snake restore its driver file in case it gets deleted,restore,-,other
62,it Another set of hooks sets,sets,Other,-
63,Another set of hooks hide the presence of the Snake components on the system,hide,-,other
64,The driver watches for to all userland processes see if they load any web pages,watches,Other,other
65,Snake As long as stays dormant the user is not using the Internet,stays,-,other
66,the driver intercepts as soon as that event the user goes online,intercepts,-,other
67,the driver injects into the malicious DLL module the process that initiated connection,injects,Other,other
68,the module initiates from polling one of the hard-coded C&C servers,initiates,-,command_and_control
69,this behaviour Snake’s traffic blend with the browser traffic,blend,-,other
70,bypassing the firewalls,bypassing,-,other
71,keeping a low profile,keeping,-,other
72,Snake rootkit stay unnoticed,stay,-,other
73,Snake rootkit Hiding a few DNS/HTTP requests among busy network traffic,Hiding,-,other
74,the driver injected a malicious DLL module in it,injected,Other,other
75,that module started producing the following traffic,started,Network,other
76,it The domain names of the C&C servers relies on,relies on,-,command_and_control
77,the malware resolves the domain name of its C&C,resolves,-,command_and_control
78,it fetches a file /D/pub.txt,fetches,Other,command_and_control
79,"it expects the server to respond with a string 1, acknowledging it’s active",expects,-,command_and_control
80,it asks the server for a command,asks,Network,command_and_control
81,the server returns a new command to execute,returns,Network,command_and_control
82,it C&C The command receives from,receives,Network,command_and_control
83,The command is encrypted,is encrypted,-,other
84,it calculates and confirms a CRC32 checksum within the command,calculates and confirms,-,command_and_control
85,the malware decrypt it,decrypt,-,command_and_control
86,the malware applies the XOR mask to the bytes that start from offset 0x40,applies,-,command_and_control
87,it decrypts the data by using the Number Theory Library (NTL),decrypts,-,command_and_control
88,it makes sure the command is destined to the current host by matching the ID field in it,makes sure,-,command_and_control
89,the malware interprets the received command,interprets,-,command_and_control
90,the malware connects to the new C&C,connects,Network,command_and_control
91,the malware asking for another command,asking,Network,command_and_control
92,it The command receives,receives,Network,command_and_control
93,it uploads all the collected logs to the server,uploads,Network,command_and_control
94,it cleans out those logs,cleans out,File,other
95,it The files uploads,uploads,Network,command_and_control
96,rootkit store configuration and log data,store,File,other
97,rootkit The files within that directory are used,are used,File,-
98,it supports 3 modes of fetching C&C commands,supports,-,command_and_control
99,"it Windows Internet (WinINet) APIs, such as HttpOpenRequest(), HttpSendRequest(), InternetReadFile(), etc relies on",relies on,-,command_and_control
100,"it Windows Sockets 2 (Winsock) APIs, such as WSAStartup(), socket(), connect(), send(), etc uses",uses,Other,command_and_control
101,it works in the ‘pipe server’ mode,works,Other,command_and_control
102,it passes the web requests it is interested in (as a client) to the pipe server that runs within Windows Explorer (explorer.exe) and/or Internet Explorer (iexplore.exe) processes,passes,Other,command_and_control
103,"the malicious driver with the embedded DLL module injects that DLL into a system process, such as services.exe",injects,Other,other
104,the DLL function in the ‘pipe server’ mode,function,Other,-
105,the driver detects a usermode process that goes online (e.g. a browser),detects,Other,other
106,inject malicious DLL module into it,inject,Other,other
107,the DLL start communicating with C&C directly,start,-,command_and_control
108,the injected DLL start communicating with the pipe server,start,Other,command_and_control
109,the injected DLL sending messages into the established inter-process communication pipes,sending,Other,command_and_control
110,is delegated the task of communication with C&C to the pipe server,is delegated,Other,command_and_control
111,it start communicating with the C&C,start,-,command_and_control
112,bypassing the host-based firewalls that keep an infected system process in a white-list,bypassing,-,other
113,the pipes usage ‘legitimise’ the outbound web requests,‘legitimise’,-,other
114,is spawned a dedicated thread,is spawned,Other,-
115,IPC messages received through the pipes listen for,listen,Other,other
116,the pipe server GET perform,perform,Other,command_and_control
117,the pipe server POST requests perform,perform,Other,command_and_control
118,the pipe clients (infected usermode processes) ask the pipe server,ask,Other,-
119,the pipe server saving data into a temporary file,saving,File,other
120,the pipe server copy files,copy,File,other
121,the pipe server delete files,delete,File,other
122,the pipe server save configuration data into under the registry the aforementioned ShellCore value,save,Other,other
123,This delegation of tasks keep infected processes under for the radar of the behavioural analysis tools as long as possible,keep,-,other
124,overcome account restrictions imposed on a browser process,overcome,-,other
125,write into files,write,File,other
126,write into registry,write,Other,other
127,the clients send messages to using the pipe server the following task identification headers,send,Other,command_and_control
128,it IOCTL code of 0x222038 DeviceIoControl() API calls on with its handle,calls,Other,-
129,The usermode component of Snake communicates with via its kernel-mode driver a device called \\.\vstor32 (created under kernel as \Device\vstor32),communicates,-,other
130,it write data,write,File,-
131,it CreateFile(\\.\vstor32) opens the device with,opens,File,-
132,are hard-coded the initial set of domain names within the body of the DLL,are hard-coded,-,command_and_control
133,these commands provide complete backdoor functionality,provide,-,other
134,these commands allowing remote attacker full control over the compromised system,allowing,-,other
135,the malware performed the commands,performed,-,other
136,update the driver,update,-,command_and_control
137,rely on its communication capabilities,rely on,-,command_and_control
138,is installed via such a driver an update,is installed,-,other
139,the kernel-mode driver is responsible for the communications,is,-,command_and_control
140,be instructed the usermode component,be instructed,-,other
141,copying all the necessary logs into the shared virtual partition,copying,File,other
142,a kernel-mode driver carry out the network communications,carry out,-,command_and_control
143,The usermode DLLs are still injected into to the system processes perform high-level tasks,are still injected,Other,other
144,be distributed via it a phishing email attachment,be distributed,-,infection_propagation
145,be delivered via it an exploit across the network,be delivered,-,infection_propagation
146,Infection starts from a dropper penetrating into the compromised system where it is allowed to run,starts,-,infection_propagation
147,executed the dropper,executed,File,-
148,the dropper installs the kernel mode driver in a pre-defined location,installs,-,other
149,it On install a 32-bit driver a 32-bit OS,install,-,other
150,it On install a 64-bit driver a 64-bit OS,install,-,other
151,The analysed 32-bit dropper creates a driver in the following location,creates,File,other
152,The registration is ensured with creation of the following registry entries,is ensured,Other,-
153,The rootkit places a number of the hooks,places,Other,-
154,The driver flags the following events with the notification purposes,flags,Other,-
155,it IoCreateDevice() hooks,hooks,Other,-
156,it install a TDI filter driver,install,-,other
157,The installed hook handler calls the original API,calls,Other,-
158,The installed hook handler checks if the name of the device is netbt or afd,checks,File,-
159,its hooks hide the presence of Snake on a system,hide,-,other
160,the driver hide its components,hide,-,other
161,the driver hooks the following APIs,hooks,Other,-
162,the hook handlers of the registry-related APIs block access to the registry entries that contain the name of the driver,block,-,other
163,the rootkit blocks access to registry entries that contain the strings Ultra3 and ~ROOT,blocks,-,other
164,The ZwReadFile() hook handler block access to the home directory where the rootkit keeps its file,block,-,other
165,it blocked file read access from that directory,blocked,-,other
166,The ZwClose() hook handler inject the DLL module into the userland processes,inject,Other,other
167,The hook handler for ZwTerminateProcess() checks if the process being shut down is svchost.exe,checks,Other,-
168,it unloads its usermode DLL,unloads,Other,-
169,it deactivates its own network drivers,deactivates,Other,-
170,The ObOpenObjectByName() hook hide the presence of its virtual partitions,hide,-,other
171,the driver encrypt data stored on its virtual partitions,encrypt,-,other
172,the driver sets a hook for another API,sets,Other,-
173,the rootkit re-infect the usermode process svchost.exe,re-infect,-,other
174,the rootkit re-enable its network drivers,re-enable,-,other
175,the rootkit hooks these APIs,hooks,Other,-
176,it registers a callout driver for Windows Filtering Platform (WFP),registers,-,other
177,is notified its callout driver whenever a TCP connection is established by a browser,is notified,-,other
178,the rootkit triggers an event named \BaseNamedObjects\wininet_activate,triggers,Other,-
179,When is intercepted it with the FwpsCopyStreamDataToBuffer0() API the data arrives,is intercepted,-,other
180,scanned for it the presence of the hidden commands from C&C,scanned,-,command_and_control
181,The driver inspects bidirectional network data on a per stream basis,inspects,-,other
182,Snake manipulate data streams,manipulate,-,other
183,Snake insert traffic destined to its C&C servers,insert,Network,command_and_control
184,Snake hooks the Transport Driver Interface (TDI) network routines by setting itself up as a TDI filter driver,hooks,Other,-
185,Snake TCP calls hooks,hooks,Other,-
186,it IRP (IO request package) hooks intercepts all requests along with their parameters via,intercepts,-,other
187,it inspect the traffic,inspect,-,other
188,it GET/POST HTTP requests and also SMTP communications looking for and then parsing,looking for and then parsing,-,command_and_control
189,it distinguish commands addressed to itself,distinguish,-,command_and_control
190,the rootkit detects that the OS version is pre-Vista (e.g. Windows XP) or Windows Server 2008 (e.g. Windows Server 2003),detects,-,other
191,it FwpsStreamInjectAsync0() API invoke,invoke,Other,-
192,it generate outbound requests,generate,Network,command_and_control
193,the TDI driver Whenever ‘pulse’ the \BaseNamedObjects\wininet_activate event the client establishes connections,‘pulse’,Other,-
194,the driver The data intercepts,intercepts,-,other
195,the DLL module If execute them the data contains commands from C&C,execute,-,command_and_control
196,the driver C&C be delivered back to,be delivered,Network,command_and_control
197,code NDIS filter intermediate driver installs,installs,-,other
198,This driver is set up above below a miniport driver a protocol driver,is set up,-,other
199,the drivers hooks the following exports within ndis.sys,hooks,Other,-
200,code NDIS filter driver for NDIS 6.0 and above installs,installs,-,other
201,NDIS filter driver configuration is stored in the registry entry,is stored,Other,-
202,the drivers hooks the following exports within ndis.sys (for NDIS 6.0),hooks,Other,-
203,it Another set of exports hook in ndis.sys (for NDIS 6.0),hook,Other,-
204,installed the hooks,installed,Other,-
205,the hook handlers Snake’s own MiniportXxx functions register with the NDIS library,register,Other,-
206,it send data by using a private TCP/IP stack,send,Network,command_and_control
207,it receive data by using a private TCP/IP stack,receive,Network,command_and_control
208,it bypassing,bypassing,-,other
209,it making its open ports invisible to scanners,making,-,other
210,NDIS Snake’s hook function invokes,invokes,Other,-
211,the underlying miniport driver receives data from the network,receives,Network,command_and_control
212,it invoking a data receive indication function NdisMIndicateReceiveNetBufferLists(),invoking,Other,-
213,the protocol driver NdisSendNetBufferLists() calling,calling,Other,-
214,the protocol driver defines the data in a list of NET_BUFFER_LIST structures,defines,-,other
215,send the data,send,-,other
216,NDIS calls the miniport driver’s MiniportSendNetBufferLists() function,calls,Other,-
217,"Snake manipulate traffic at 3 different levels (NDIS protocol driver, TDI Driver, and WPF callout driver)",manipulate,-,other
218,Snake parse all incoming traffic,parse,-,other
219,Snake ‘inject’ the traffic into existing communications,‘inject’,-,other
220,Snake reach out to external components,reach out,-,command_and_control
221,Snake detect traffic addressed to itself,detect,-,other
222,Snake registered as on a TDI driver the device stack,registered,Other,-
223,NdisIMRegisterLayeredMiniport() API The driver is registered with,is registered,Other,-
224,NdisFRegisterFilterDriver() API The driver is registered with,is registered,Other,-
225,The Snake rootkit Network Driver Interface Specification (NDIS) protocol driver registers itself as,registers,Other,-
226,the driver intercepts all connections,intercepts,-,other
227,it parses all incoming HTTP and SMTP traffic,parses,-,other
228,Snake traffic be authenticated it as,be authenticated,-,command_and_control
229,The authentication is implemented,is implemented,-,command_and_control
230,decrypting the data,decrypting,-,command_and_control
231,making sure it starts with the markers 0xDEADBEAF and 0xC001BA5E (which appear to derive from ‘DEAD BEEF’ and ‘COOL BASE’),making sure,-,command_and_control
232,the driver routing requests from other infected hosts to a remote C&C server,routing,-,other
233,the driver is acting in like this mode a proxy,is acting,-,command_and_control
234,the driver respond with messages like HTTP/1.1 200 OK or HTTP/1.1 500 Server Error,respond,Network,command_and_control
235,is authenticated and decrypted the incoming data,is authenticated and decrypted,-,command_and_control
236,the driver log its activity,log,-,other
237,the driver writes log data into the pipe \Device\NamedPipe\isapi_log,writes,Other,other
238,it send traffic data into a memory pipe \Device\NamedPipe\isapi_http,send,Other,-
239,it send a received peer-2-peer command message write_peer_nfo=IP_ADDRESS:PORT0frag_no_scrambling=Y0 into another memory pipe called \Device\NamedPipe\isapi_dg,send,Other,-
240,the DLL log the data into the log files,log,File,other
241,used the named pipes for communications,used,Other,-
242,Messages submitted into the pipes,submitted,Other,-
243,received the data from the pipes,received,Other,-
244,the pipe server identify the messages,identify,Other,-
245,The driver creates virtual file volumes for encrypted storage of its files and configuration data,creates,Other,other
246,The volumes are mounted from the virtual file systems RawDisk1 and RawDisk2,are mounted,Other,-
247,The first partition is created with the following steps,is created,Other,-
248,the rootkit IofCallDriver() API The hook installed on,installed,Other,-
249,The hook provides on-the-fly data encryption/decryption,provides,-,other
250,is written that data to the volume,is written,File,-
251,read that data from the volume,read,File,-
252,CAST-128 The encryption algorithm is based on,is based,-,other
253,be scrambled on-the-fly it,be scrambled,-,other
254,is saved the data into the volume Hd1,is saved,File,-
255,reflected in the persistent storage file hotfix.dat it,reflected,-,other
256,it ’s a fully encrypted file with flat entropy,’s,-,other
257,The data stored in \\.\Hd2 is encrypted the same way the first volume’s data,is encrypted,-,other
258,FAT volumes Both volumes be set up as,be set up,Other,-
259,Snake TrueCrypt-like volumes keep its data on,keep,-,other
260,the Snake driver uses virtual volumes,uses,Other,-
261,it stores its message queue in a file called,stores,File,-
262,the Snake driver store its data and additional files on it,store,File,-
263,intercepted keystrokes,intercepted,-,other
264,other log files contain executed command outputs,contain,-,other
265,it load its unsigned 64-bit driver on a 64-bit version of Windows XP,load,Other,-
266,the dropper ensure the driver is loaded automatically at startup,ensure,-,other
267,the dropper install the 64-bit driver on 64-bit Windows XP,install,-,other
268,it installs a 32-bit driver on a 32-bit version of Windows XP,installs,-,other
269,it On behaves differently 64-bit versions of Windows Vista and above,behaves,-,other
270,is created,is created,File,-
271,the dropper copies itself,copies,File,-
272,The dropper registers itself as a service,registers,Other,-
273,is registered the dropper itself,is registered,Other,-
274,The dropper ensure it starts every time Windows is booted,ensure,-,other
275,an attacker craft such input parameters that will define address within kernel memory to patch and the data to patch it,craft,-,other
276,be used the vulnerable driver as a weapon to patch kernel memory,be used,-,other
277,Code Integrity verification is disabled,is disabled,-,other
278,be loaded the unsigned 64-bit driver,be loaded,Other,-
279,the Snake dropper loads a copy of the NT core image (ntoskrnl.exe),loads,File,-
280,the Snake dropper SepInitializeCodeIntegrity() within it locates the import of CI.dll’s function CiInitialize(),locates,File,-
281,it parses the function’s code to locate the offset of the variable,parses,File,-
282,is loaded the 64-bit unsigned driver,is loaded,Other,-
283,Snake dropper registers itself as a service,registers,Other,-
284,Snake dropper start each time Windows starts,start,-,other
285,Snake dropper load the driver,load,Other,-
286,Snake dropper install the vulnerable VBox driver,install,-,other
287,Snake dropper Code Integrity control disable with a DeviceIoControl() API call,disable,-,other
288,the dropper Administrator privileges obtain,obtain,-,other
289,It MS09-025 and MS10-015 exploits running on the target system,running,File,other
290,be injected libraries into usermode processes,be injected,Other,-
291,a tool NTFS file systems creating,creating,Other,-
292,is written the initial message queue file into the virtual volume,is written,File,-
293,the kernel-mode driver The usermode DLLs injected into the userland system process,injected,Other,-
294,The rkctl_Win32.dll/rkctl_x64.dll module uses the following hard-coded named pipe for communications,uses,Other,command_and_control
295,it The remote commands receives,receives,-,command_and_control
296,The remote commands control other components of Snake,control,-,command_and_control
297,the DLL activates,activates,Other,-
298,it reads configuration parameters from the configuration queue,reads,File,-
299,the driver creates the configuration queue on a virtual volume,creates,File,-
300,the DLL use the pipe name(s) for its communications,use,Other,command_and_control
301,this Snake DLL module The remote commands received,received,Network,command_and_control
302,the DLL post the data,post,Network,command_and_control
303,It rely on the following Internet Media types (MIME types) for data exfiltration,rely on,-,other
304,it uses,uses,-,command_and_control
305,Request type POST be,be,Other,command_and_control
306,C&C server resource name is /default.asp,is,-,command_and_control
307,Request type GET be,be,Other,command_and_control
308,One of the Snake components was identified as a network reconnaissance tool,was identified,-,other
309,One of the Snake components been downloaded from a remote C&C server,been downloaded,Network,other
310,this tool When enumerates other network hosts run as a command line tool,enumerates,-,other
311,this tool When detects what Windows RPC services are enabled at the endpoints run as a command line tool,detects,-,other
312,associated a list of interface identifiers with the named pipes,associated,Other,-
313,It write a message to the associated named pipes,write,Other,-
314,It read a message from the associated named pipes,read,Other,-
315,it fingerprint all network hosts by mimicking the Metasploit’s logic of OS fingerprinting via SMB,fingerprint,-,other
316,it reveal the following characteristics for each host found in the network,reveal,-,other
317,The data is encrypted,is encrypted,-,other
318,The data saved into a configuration file %system%\vtmon.bin,saved,File,-
319,This file is then further encrypted with an NTL-based (Number Theory Library) algorithm,is then further encrypted,-,other
320,"This file is uploaded by to along with the usermode-centric Snake rootkit the C&C server other configuration files, such as mtmon.sdb, mtmon32.sdb, gstatsnd.bin, gstat.bin, gstat32.bin, and other log files found in the %windows%\$NtUninstallQrandom$ directory",is uploaded,Network,command_and_control
321,the remote attacker identify any potentially exploitable hosts located in the same network as the victim,identify,-,infection_propagation
322,The attacker deliver the generated shellcode back to to the reconnaissance tool be applied against the identified hosts by running the tool with the ‘exp_os’ switch,deliver,Network,command_and_control
323,the attacker adjusting them to the hosts present within the network,adjusting,-,infection_propagation
324,the tool delivers the payload,delivers,Network,infection_propagation
325,the tool exploits the remote host(s),exploits,-,infection_propagation
326,it replicate the infection across the network,replicate,-,infection_propagation
327,it spreading the infection further,spreading,-,infection_propagation
328,it repeating the infection cycle all over again,repeating,-,infection_propagation
329,it taking control over new hosts,taking control,-,other
330,Agent.BTZ used the same XOR key for its logs,used,-,other
331,the latest samples of Snake Log files created,created,File,other
332,It using for complex techniques evading host defences,using,-,other
333,It providing the attackers covert communication channels,providing,-,other
334,carry out all of the communications from the kernel-mode driver,carry out,-,command_and_control
335,delegate the network communication engine to usermode code,delegate,-,command_and_control
336,it When only needs one host to be connected online most of the infected hosts are cut off from the outside world,only needs,-,command_and_control
337,The traffic is then routed through that host,is then routed,-,other
338,make external control still possible,make,-,other
339,make data exfiltration still possible,make,-,other
340,The presence of the reconnaissance tool in the Snake operators’ framework suggests the existence of an arsenal of infiltration tools,suggests,-,infection_propagation
341,the existence of an arsenal of infiltration tools compromise a system,compromise,-,other
342,replicate into other hosts,replicate,-,infection_propagation
343,infect them,infect,-,infection_propagation
344,spread the infection even further,spread,-,infection_propagation
345,the backdoor commands Snake allow,allow,-,other
346,Snake provide remote attackers with full remote access to the compromised system,provide,-,other
347,staying fully inactive for a number of days,staying,-,other
348,hibernate,hibernate,-,other
349,makes its detection during that time very difficult,makes,-,other
350,stay unnoticed by behaviour analysis engines of the antivirus products,stay,-,other
351,overcome account restrictions of the browser processes,overcome,-,other
352,the injected module write into files the sensitive registry hives,write,File,-
353,it The logs and dumps creates on the hidden virtual volumes,creates,File,other
354,keep its network communications as quiet as possible,keep,-,other
355,it generate malicious traffic whenever the user goes online and start loading the web pages,generate,-,other
356,it ‘blend in’ with the legitimate communications,‘blend in’,-,other
357,it sends out to the initial communications its command and control server,sends out,-,command_and_control
358,encrypt several pieces of information that are extracted from the system,encrypt,-,other
359,The first set of commands force the malware to behave as a simple downloader,force,Network,command_and_control
360,written a binary executable file to the disk,written,File,-
361,executed a binary executable file,executed,File,-
362,The command and control structure provides the operator with access to the victim machine’s filesystem and command line,provides,-,command_and_control
363,executing arbitrary commands,executing,-,command_and_control
364,uploading files from the compromised system,uploading,Network,command_and_control
365,downloading files from the compromised system,downloading,Network,command_and_control
366,OrcaRAT sends an HTTP POST message to the command and control server,sends,Other,command_and_control
367,this malware designed as a first stage implant,designed,-,other
368,the employed Korplug samples were connecting to the same C&C domain,were connecting,-,command_and_control
369,Other Korplug samples were connecting to a different domain name resolving to the same IPs as notebookhk.net,were connecting,-,command_and_control
370,two larger scale campaigns employing this well-known Remote Access Trojan,employing,-,other
371,used the Korplug RAT (a.k.a .PlugX) in since a large number of targeted attacks 2012,used,-,other
372,Some of the above-mentioned files contained decoy documents,contained,-,infection_propagation
373,were dropped three binary files,were dropped,-,other
374,The Korplug RAT use this side-loading trick,use,Other,-
375,The Korplug RAT stay under the radar,stay,-,other
376,The maliciously crafted documents exploit the CVE-2012-0158 vulnerability in Microsoft Word,exploit,-,infection_propagation
377,One of these ‘alternative RATs’ was connecting to a domain also used by the Korplug samples,was connecting,-,command_and_control
378,The malware manage processes and services on the infected machine,manage,-,other
379,The malware transfer to files the C&C server,transfer,Network,command_and_control
380,The malware transfer from files the C&C server,transfer,Network,command_and_control
381,The malware run shell commands,run,-,other
382,It connects to www.dicemention.com,connects,Network,command_and_control
383,This malware harvesting according to files off criteria set in the configuration file the victim’s hard drive,harvesting,-,other
384,it doing a recursive sweep of all logical fixed and remote drives,doing,-,other
385,it monitors network shares by listening to DBT_DEVICEARRIVAL events,monitors,Other,other
386,it monitors attached removable media by listening to DBT_DEVICEARRIVAL events,monitors,Other,other
387,the malware collecting files,collecting,-,other
388,the malware gather saved passwords from the following applications,gather,-,other
389,the malware gather history of visited URLs from the following applications,gather,-,other
390,the malware gather account information from the following applications,gather,-,other
391,the malware gather proxy information from the following applications,gather,-,other
392,Some samples of this file stealer detected in these campaigns,detected,-,other
393,being loading the Korplug trojan into memory,being loading,Other,-
394,the attackers shared a C&C domain,shared,-,command_and_control
395,ComRAT complicate the analysis,complicate,-,other
396,the attackers use the same persistence mechanism,use,-,other
397,the malware install in the file credprov.tlb %APPDATA%\Microsoft\,install,-,other
398,The dropper install a second file,install,-,other
399,the malware creates the following registry key,creates,Other,-
400,the dropper creates an additional file called winview.ocx,creates,File,-
401,The file is xored with the following obfuscation key,is xored,File,other
402,the malware checks if an older version is installed on the system,checks,File,other
403,the dropper removes the older version,removes,File,infection_propagation
404,Uroburos does not install itself,does not install,-,infection_propagation
405,Uroburos was found on a version of Agent.BTZ a system,was found,File,other
406,is loaded the shdocvw.tlp library into all processes,is loaded,Other,-
407,load the library into each and every process executed on the infected system,load,Other,-
408,this library will load the other library called credprov.tlb,will load,Other,-
409,the browser process ComRAT’s communication to the command and control server is performed,is performed,-,command_and_control
410,avoid being blocked by a firewall on the system or any additional security products,avoid,-,other
411,named pipe The communication between the processes is performed,is performed,Other,-
412,Two log files are created during the malware execution,are created,File,other
413,The command and control server information is stored in the registry,is stored,Other,command_and_control
414,the XML log file contains the command and control server information,contains,-,command_and_control
415,Uroburos and ComRAT Command and control server domains are shared between,are shared,-,command_and_control
416,Agent.BTZ is a common RAT,is,-,other
417,The malware is loaded into each and every process of the infected machine,is loaded,Other,-
418,is only executed in the main part (payload) of the malware explorer.exe,is only executed,File,-
419,the C&C communication blends into the usual browser traffic,blends,-,other
420,the malware started during the boot process of the infected machine,started,-,other
421,the malware communicates to by the browser named pipe,communicates,Other,command_and_control
422,is spoofed this date,is spoofed,-,other
423,Derusbi waits for commands from a controlling client,waits,-,other
424,the variant installs the device driver,installs,-,other
425,The server variant hook into the Windows firewall,hook,-,other
426,The driver hooking the firewall,hooking,-,other
427,an attacker hide their communication,hide,-,other
428,loaded into via the server variant memory a LoadLibrary or equivalent function call,loaded,Other,other
429,The binary spawns a new thread,spawns,Other,other
430,The server variant determine if it has suitable access rights,determine,Other,other
431,The check for access rights checks if the server variant process is running under the NT Authority,checks,-,other
432,The DllRegisterServer function install the server variant,install,-,other
433,The mainLoop function loading the unique infection ID,loading,-,infection_propagation
434,The mainLoop get the privileges,get,-,other
435,"DerusbiThread::DerusbiThread selects a port between 40,000 and 45,000 to use as a listening port",selects,Network,other
436,DerusbiThread::DerusbiThread opens the port as a listener,opens,Network,other
437,The device driver inspects incoming network traffic from any client connecting to the victim machine,inspects,Network,other
438,reroute the network traffic,reroute,Network,other
439,the driver redirect appropriate TCP sessions,redirect,Network,other
440,"The Derusbi server variant listen an available, random port",listen,Network,other
441,the server sending the server information,sending,-,other
442,CommLoop routes packets to the appropriate command handler object,routes,-,other
443,The malware creates a Run key in the current user's hive,creates,Other,-
444,the attacker upload files,upload,Network,-
445,the attacker download files,download,Network,-
446,the attacker enumerate files,enumerate,-,other
447,the attacker delete files,delete,File,-
448,the attacker search files,search,File,-
449,the attacker execute files,execute,File,-
450,the attacker list drivers on the system,list,-,other
451,the backdoor HTML comments returned from the C2 look for encrypted commands within,look for,Other,command_and_control
452,the backdoor load the legitimate system32\msacm32.drv file,load,File,-
453,it spawning malicious threads,spawning,Other,-
454,"The backdoor contains identical exports additional dummy function from the legitimate msacm32.drvcalled ""StartWork""",contains,-,other
455,explorer.exe On load the backdoor reboot,load,-,other
456,The backdoor HTTP make requests to over using the C2 the following parameters in the URI string,make,-,command_and_control
457,"The binary communicate to on using ""www.microsoftservices.proxydns.com"" port 80 standard HTTP POST and GET requests",communicate,Other,command_and_control
458,the backdoor execute whenever the victim user logs into the system,execute,-,other
459,The malware steals data from infected systems,steals,-,-
460,The malware disguises itself as legitimate Microsoft software,disguises,-,other
461,GCHQ gained access to Belgacom’s internal systems,gained,-,other
