,label,text-rel,label_num,tokens,text-neigh,token
84,ActionName,written two additional files to the victim's hard disk,1,calculates and confirms,two additional files being written to the victim's hard,calculates and confirms
85,ActionName,the downloader execute additional malware on the victim's system,1,decrypt,is to download and execute additional malware on the,decrypt
86,ActionName,the downloader execute an encrypted malicious payload,1,applies,downloader will decrypt and execute Depending on the way,applies
87,ActionName,written two additional files to the victim's hard disk,1,decrypts,two additional files being written to the victim's hard,decrypts
88,ActionName,BE2 stores the downloaded plugins,1,makes sure,the APT-specific BE2 now stores the downloaded plugins in,makes sure
89,ActionName,it writes an encrypted Visual Basic Script,1,interprets,"on disk. Instead, it writes an encrypted Visual Basic",interprets
90,ActionName,runs it,1,connects,Visual Basic Script and runs it. Atlas exploit payload,connects
91,ActionName,"The malware configuration file is written to the ""SYSTEM"" folder (as opposed to SYSTEM32)",1,asking,"The malware configuration file is written to the ""SYSTEM"" folder",asking
92,ActionName,suspected Iranian actors destroyed data on with thousands of computers the Shamoon virus,1,receives,suspected Iranian actors have destroyed data on thousands of,receives
93,ActionName,the Shamoon attacks wiped computers in Saudi Arabia and Qatar,1,uploads,"the Shamoon attacks, which wiped computers in Saudi Arabia",uploads
94,ActionName,The following files are written to in disk this location,1,cleans out,Data\IntelRapidStart\. The following files are written to disk in this,cleans out
95,ActionName,It AppTransferWiz.dll launches via the following command,1,uploads,modules. It drops and launches AppTransferWiz.dll via the following,uploads
96,ActionName,Harvested data written to on disk the local host,1,store,data is encrypted and written to disk on the,store
97,ActionName,an executable write to disk,1,are used,"that, upon execution, will write to disk and execute",are used
98,ActionName,an executable CozyDuke execute,1,supports,"write to disk and execute CozyDuke, while at the",supports
99,ActionName,CozyDuke executed droppers for DLL files reminiscent of OnionDuke,1,relies on,"some instances, downloaded and executed droppers for DLL files",relies on
100,ActionName,it write two files to disk,1,uses,"Upon execution, it will write two files to disk.",uses
101,ActionName,This dropper write to the main CozyDuke components encrypted configuration file used by CozyDuke disk,1,works,will then proceed to write to disk the main,works
102,ActionName,The dropper write the CozyDuke components to the specified location,1,passes,will then proceed to write the CozyDuke components to,passes
103,ActionName,The dropper copy the system file rundll32.exe to the install location for CozyDuke,1,injects,The dropper will additionally copy the system file rundll32.exe,injects
104,ActionName,These tasks involve the execution of modules or executables providing additional functionality,1,function,tasks. These tasks usually involve the execution of modules,function
105,ActionName,CozyDuke PE executable files write to disk,1,detects,files that CozyDuke will write to disk and execute,detects
106,ActionName,CozyDuke PE executable files execute on the infected host,1,inject,write to disk and execute on the infected host.,inject
107,ActionName,execute file,1,start,"execute commands via PowerShell, execute a direct command or",start
108,ActionName,save an executable to disk,1,start,"command or file, or save an executable to disk",start
109,ActionName,execute it,1,sending,"executable to disk and execute it. In several cases,",sending
110,ActionName,This exploit copied a fully functional version of Chrome into the Java cache directory,1,is delegated,Java exploit. This exploit copied a fully functional version,is delegated
111,ActionName,being written the ransom note to on disk an infected machine,1,start,see the ransom note being written to disk on an,start
112,ActionName,ransomware PCs locks,1,bypassing,such as ransomware that locks PCs or financial Trojans,bypassing
113,ActionName,an attacking group overwrote programmable logic controllers (PLCs) with an empty program module,1,‘legitimise’,tanker loading machinery and overwrote programmable logic controllers (PLCs),‘legitimise’
114,ActionName,the malware delete itself from after it three successful propagations,1,is spawned,own files and even delete itself from it after,is spawned
115,ActionName,The dropper component creating all the required files on the system,1,listen,component is responsible for creating all the required files,listen
116,ActionName,It execute itself remotely if successfully copied,1,perform,accessible network shares and execute itself remotely if successfully,perform
117,ActionName,The malware overwriting them with a JPEG image or 192KB blocks of random data,1,perform,file names and starts overwriting them with a JPEG,perform
118,ActionName,is copied the valuable information,1,ask,where the valuable information is copied and sent back to,ask
119,ActionName,The malware deletes all files on a computer,1,saving,energy sector. The malware deletes all files Page Targeted,saving
120,ActionName,scan for deleted files on an infected computer,1,copy,utilization. It can also scan for deleted files on,copy
121,ActionName,The initial stages involve the installation and configuration of the threat’s internal services,1,delete,architecture. The initial stages involve the installation and configuration,delete
122,ActionName,it Stage 1 execute,1,save,it will install and execute Stage 1. It’s likely,save
123,ActionName,the attackers who operated Regin cleaned up compromised computers,1,keep,attackers who operated Regin cleaned up compromised computers once they,keep
124,ActionName,Regin logs to data the ApplicationLog.dat file,1,overcome,04h BYTEsectsize-4 Data Regin logs data to the ApplicationLog.dat,overcome
125,ActionName,a file execute the data,1,write,pipes or sockets and execute the data. The recovered,write
126,ActionName,Stage 1 looks for the last partition (in terms of physical location) on disk,1,write,"extended attribute, Stage 1 looks for the last partition",write
127,ActionName,Stage 1 searches for in the payload the raw sectors in this area of the disk,1,send,location) on disk and searches for the payload in,send
128,ActionName,"the module delete some other, prob- ably older, components which might be present on the system",1,calls,"the module attempts to delete some other, prob- ably",calls
129,ActionName,check if current directory has a file named «U»,1,communicates,is step is to check if current directory has,communicates
130,ActionName,the module wipes the file,1,write,"180 days, the module wipes TLP: Green For any",write
131,ActionName,saved it to in a disk a file named «ctfmon.exe»,1,opens,byte value 0x55 and saved to a disk in,opens
132,ActionName,WinRar SFX file starts the module from %APPDATA%\Microsoft\Display\DmaUp3. exe,1,are hard-coded,file that drops and starts the module from %APPDATA%\Microsoft\Display\DmaUp3.,are hard-coded
133,ActionName,the malware executes some kind of embedded script,1,provide,local system the malware executes some kind of embedded,provide
134,ActionName,the downloaded file ex- ecutes it,1,allowing,7786570139f78e78bc940597) to %APPDATA%\MICROSOFT\DISPLAY and executes it. This component is,allowing
135,ActionName,The igfxext.exe component run,1,performed,dropped to disk and run It spawns an- other,performed
136,ActionName,The running process overwrites the igfxext.exe image in with the suspended process this smaller chunk of code,1,update,0xbb. The running process overwrites the igfxext.exe image in,update
137,ActionName,code running within svchost.exe on WinXP SP3 This sample is started,1,rely on,by certificate. This sample is started by code running within,rely on
138,ActionName,"This component writes the retrieved values ondisk to a ran- domly named .tmp, file like ffffz07131101.tmp",1,is installed,component then encrypts and writes the retrieved values ondisk,is installed
139,ActionName,This keylogger module stores gathered data in a log file,1,is,keylogger module encrypts and stores gathered data in a,is
140,ActionName,The file install.exe write two files (doc.exe and test.exe) to the hard-coded path C:\Users\Public,1,be instructed,file install.exe attempts to write two files (doc.exe and,be instructed
141,ActionName,"The first dropped file, doc.exe execute test.exe with the elevated privileges",1,copying,and then attempts to execute test.exe with the elevated,copying
142,ActionName,Creates the log file: %TEMP%\~DFD3O8.tmp,1,carry out,PE32 DLL Exports: _LowLevelKeyboardProc@12 Creates the log file: %TEMP%\~DFD3O8.tmp.,carry out
143,ActionName,read it from disk,1,are still injected,"executed command), it is read from disk and uploaded",are still injected
144,ActionName,One sample write a malicious component to disk,1,be distributed,primary purpose is to write a malicious component to,be distributed
145,ActionName,a post exploitation tool remove log data,1,be delivered,"systems, download additional tools, remove log data, and itself",be delivered
146,ActionName,The dropper write the malicious payload to using one of the following names the first available name in this set,1,starts,The dropper attempts to write the malicious payload to,starts
147,ActionName,The dropper sets the creation and last written timestamp of the newly created file to the date 2007-03-07 00:00:00,1,executed,3. infocardapi.dll The dropper sets the creation and last,executed
148,ActionName,the dropper writes the file to disk,1,installs,"obfuscated. When the dropper writes the file to disk,",installs
149,ActionName,The dropper opens the dropped file,1,install,tools. The dropper subsequently opens the dropped file and,install
150,ActionName,The dropper corrects the header by writing the 'M' over the first byte,1,install,the dropped file and corrects the header by writing,install
151,ActionName,cleaning up the components dropped by the malware,1,creates,This means that after cleaning up the components dropped by,creates
152,ActionName,The command line options support launching the executable,1,is ensured,The command line options support post exploitation capabilities such,is ensured
153,ActionName,the backdoor filter the contents of specified files,1,places,allows the backdoor to filter the contents of specified,places
154,ActionName,the backdoor remove content using a regular expression (regex),1,flags,of specified files to remove content using a regular,flags
155,ActionName,"This command modifies the creation, modification, and last access timestamps of the modified file to conceal the content modifications",1,hooks,"(regex). This command then modifies the creation, modification, and",hooks
156,ActionName,executing processes,1,install,new C2 servers and executing processes. DLL Sample (MD5:,install
157,ActionName,it copies itself,1,calls,"characters>.ttf 2. After it copies itself, it will modify",calls
158,ActionName,"it modify the creation time, last access time and last modification    time to he current system time when the copy was made but with the year changed to 2005",1,checks,"copies itself, it will modify the creation time, last",checks
159,ActionName,creates a copy of regsvr32.exe named Update.exe,1,hide,"McAfee AV is installed, creates a copy of regsvr32.exe",hide
160,ActionName,writing the driver to disk,1,hide,Following the decryption and writing of the driver to,hide
161,ActionName,This handler class for command ID 8 C2 commands reading arbitrary files via,1,hooks,"APIs, as well as reading and writing arbitrary files",hooks
162,ActionName,This handler class for command ID 8 C2 commands writing arbitrary files via,1,block,well as reading and writing arbitrary files via C2,block
163,ActionName,RATs searching specific files,1,blocks,seen in RATs for searching specific files to exfiltrate.,blocks
164,ActionName,this class launching specified executable files via the CreateProcess() API,1,block,"Additionally, this class implements launching of specified executable files",block
165,ActionName,the malware invoke cmd.exe in the background,1,blocked,"the malware attempts to invoke cmd.exe in the background,",blocked
166,ActionName,the malware launching a command or command line utility already present on the system,1,inject,"cmd.exe in the background, launching a command or command",inject
167,ActionName,the DLL deleting itself,1,checks,"directory contents 􀆔 Copying, deleting and moving files 􀆔",checks
168,ActionName,a client-side exploit executed it,1,unloads,"can be dropped and executed by a client-side exploit,",unloads
169,ActionName,the adversary launch it using a variety of command line options,1,deactivates,or the adversary can launch it using a variety,deactivates
170,ActionName,the wiper deleted files on the file system,1,hide,"used, the wiper recursively deleted files on the file",hide
171,ActionName,the wiper deleting the Windows folder,1,encrypt,"on the file system, deleting the Windows folder last.",encrypt
172,ActionName,"It overwrote the MBR with the strings ""HASTATI"", ""PRINCPES"", ""PRINCIPES"", or ""PR!NCPES",1,sets,folder last. It then overwrote the MBR with the,sets
173,ActionName,the malware searches these directories for configuration files and directories that may be associated with the connection manager clients mRemote and SecureCRT,1,re-infect,"affected computer, the malware searches these directories for configuration",re-infect
174,ActionName,the dropper reads the configuration file,1,re-enable,"is located, the dropper reads the configuration file and",re-enable
175,ActionName,it extracts the information,1,hooks,conditions are satisfied it extracts the information. The password,hooks
176,ActionName,"the dropper extracts information from sessions that have Username=root, Protocol=SSH and a saved password",1,registers,"is located, the dropper extracts information from sessions that",registers
177,ActionName,the dropper run the bash script ~pr1.tmp,1,is notified,"remote servers, upload and run the bash script ~pr1.tmp.",is notified
178,ActionName,It overwrites with the first 512 bytes the string: princpes,1,triggers,all physical drives and overwrites the first 512 bytes,triggers
179,ActionName,It delete all files and folders in this directory,1,is intercepted,and then attempts to delete all files and folders,is intercepted
180,ActionName,is executed the AgentBase.exe component,1,scanned,When the AgentBase.exe component is executed it first attempts to,scanned
181,ActionName,It look for removable and fixed drives,1,inspects,drive. It continues to look for removable and fixed,inspects
182,ActionName,is written into it a file in the %ALLUSERSPROFILE%\Application Data directory,1,manipulate,"malware is created, it is written into a file in",manipulate
183,ActionName,the malware creates a hidden .LNK file in the Startup directory,1,insert,"after reboots, the malware creates a hidden .LNK file",insert
184,ActionName,The .LNKfile is created using with a COM object the IShellLinkA interface,1,hooks,following values: The .LNKfile is created using a COM object,hooks
185,ActionName,rundll32.exe is loaded the malware,1,hooks,IlqUenn. When the malware is loaded by rundll32.exe and the,hooks
186,ActionName,executes it,1,intercepts,a file and finally executes it. The RSA-2048 public,intercepts
187,ActionName,creating a copy of the Windows DLL cryptdll.dll,1,inspect,module is extracted by creating a copy of the,inspect
188,ActionName,This file is then stored in an Alternate Data Stream (ADS) in NTUSER.DAT in the %USERPROFILE% folder,1,looking for and then parsing,after modifications. This file is then stored in an Alternate Data,looking for and then parsing
189,ActionName,is automatically launched the installer component (0ae82fd94836815a1e8d284ccb75109d) alongside the GOM Player update,1,distinguish,the installer component (0ae82fd94836815a1e8d284ccb75109d) is automatically launched alongside the GOM Player,distinguish
190,ActionName,The installer deobfuscate the relevant loader DLL to the path ‘C:\Windows\temp\install.ocx’,1,detects,or 64-bit) and then deobfuscate the relevant loader DLL,detects
191,ActionName,The loader reads the main implant code,1,invoke,"author as 壳 (shell), reads and deobfuscates the main",invoke
192,ActionName,The loader deobfuscates the main implant code,1,generate,"壳 (shell), reads and deobfuscates the main implant code",generate
193,ActionName,added malicious JavaScript to legitimate code,1,‘pulse’,JavaScript that had been added to legitimate code on,‘pulse’
194,ActionName,These pages load scripts,1,intercepts,hXXp://985.so/bUYf hXXp://58.64.178.77:80/0wnersh1p These pages load scripts that conduct profiling,intercepts
195,ActionName,Pro-Democratic websites in Hong Kong placing malicious code on,1,execute,involved in compromising and placing malicious code on Pro-Democratic,execute
196,ActionName,BITTERBUG open recovery.txt,1,be delivered,%APPDATA%\Microsoft\recovery.txt BITTERBUG then may open recovery.txt and check for,be delivered
197,ActionName,BITTERBUG check for the presence of strings VBox or VMware,1,installs,may open recovery.txt and check for the presence of,installs
198,ActionName,is deleted the filename received from %APPDATA%\Microsoft<FILE_NAME_FROM_ C2>,1,is set up,"filename, the filename received is deleted from %APPDATA%\Microsoft<FILE_NAME_FROM_ C2>. The",is set up
199,ActionName,this command delete older versions of BITTERBUG,1,hooks,"command might be to delete older versions of BITTERBUG,",hooks
200,ActionName,BITTERBUG search for files with the following file extensions,1,installs,each drive letter and search recursively for files with,installs
201,ActionName,BITTERBUG creates a file list containing all documents (excluding those whose filename contains MediaUtils) to the following locations,1,is stored,.xlsx BITTERBUG then typically creates a file list containing,is stored
202,ActionName,BITTERBUG write a list of all running processes,1,hooks,%APPDATA%\Microsoft\tlang006.txt BITTERBUG may also write a list of all,hooks
203,ActionName,The malware create the following files,1,hook,%USERPROFILE%\5rv3fgk6\VCAKSQl.TNT The malware may create the following files: •,hook
204,ActionName,the shellcode writes this to disk,1,installed,the shellcode decodes and writes this to disk. The,installed
205,ActionName,is executed the script in the background,1,register,suspicion while the script is executed in the background. Unusual,register
206,ActionName,is launched the DLL using with regsrv32.exe the /s (silent) option,1,send,"DLL directly, the DLL is launched using regsrv32.exe with the",send
207,ActionName,the malware deletes it from the server,1,receive,new configuration file then deletes it from the server.,receive
208,ActionName,They are executed in memory,1,bypassing,"written to disk. They are executed in memory only, and",bypassing
209,ActionName,deleted these from in the share one go,1,making,these are downloaded and deleted from the share in,making
210,ActionName,The Driver hiding files,1,invokes,"Driver is capable of hiding processes (by PID, not",invokes
211,ActionName,The Driver creates a symbolic link to using the device the same name but under the \DosDevices\ tree,1,receives,samples). The Driver also creates a symbolic link to,receives
212,ActionName,LoadEmbeddedImage copies the compressed embedded DLL into a newly allocated heap buffer,1,invoking,DWORD EncodingKey; }; LoadEmbeddedImage copies the compressed embedded DLL,invoking
213,ActionName,is copied file on the newly-infected host,1,calling,is established and file is copied and run on the,calling
214,ActionName,run file on the newly-infected host,1,defines,file is copied and run on the newly-infected host.,defines
215,ActionName,It includes file transfer,1,send,a service DLL. It includes functionality such as file,send
216,ActionName,It includes file time matching,1,calls,a service DLL. It includes functionality such as file,calls
217,ActionName,The listener perform arbitrary code execution,1,manipulate,The listener can also perform arbitrary code execution and,manipulate
218,ActionName,The listener execute commands on the command line,1,parse,arbitrary code execution and execute commands on the command,parse
219,ActionName,This proxy tool transfer files,1,‘inject’,"perform process listings, and transfer files. Destructive Hard Drive",‘inject’
220,ActionName,being deleted specific files,1,reach out,"result includes specific files being deleted and practically irrecoverable, but",reach out
221,ActionName,destroyed the targeted files,1,detect,"with the targeted files destroyed until after reboot, in",detect
222,ActionName,The malware wiping files,1,registered,remote systems to begin wiping files. Checking for existing,registered
223,ActionName,changes the file-time to match that of the built-in file calc.exe,1,is registered,"the wiper file taskhostXX.exe, changes the file-time to match",is registered
224,ActionName,was executed the dropper file,1,is registered,When the dropper file was executed it started a second,is registered
225,ActionName,The WinsSchMgmt service executed the file with -k as an argument,1,registers,terminated. The WinsSchMgmt service executed the file with -k,registers
226,ActionName,The -s instance executed igfxtrayex.exe,1,intercepts,"-s instance dropped and executed igfxtrayex.exe, created net_ver.dat, and",intercepts
227,ActionName,The -s instance created net_ver.dat,1,parses,"dropped and executed igfxtrayex.exe, created net_ver.dat, and began generating",parses
228,ActionName,the dropper created a log file,1,be authenticated,"is a log file created by the dropper, and",be authenticated
229,ActionName,it creates a copy of itself,1,is implemented,"with no parameters, it creates and starts a copy",is implemented
230,ActionName,it starts a copy of itself with the –i argument,1,decrypting,"parameters, it creates and starts a copy of itself",decrypting
231,ActionName,the igfxtrayex.exe makes three copies of itself,1,making sure,"10 minutes, the igfxtrayex.exe makes three copies of itself",making sure
232,ActionName,These copies are then executed,1,routing,ASCII character). These copies are then executed each with a different,routing
233,ActionName,The analyzed main module of Duqu 2.0 and also the old Duqu sample reads configuration information from a special file,1,is acting,the old Duqu sample reads configuration information from a,is acting
234,ActionName,a dropper contains the backdoor binary (the second component) and the distraction file,1,respond,is a dropper which contains the backdoor binary (the,respond
235,ActionName,dropper creates a temporary file C:\DOCUME~1\User\LOCALS~1\Temp\ka4281x3.log,1,is authenticated and decrypted,"and Settings\User\Application Data\JAVA, then creates a temporary file C:\DOCUME~1\User\LOCALS~1\Temp\ka4281x3.log",is authenticated and decrypted
236,ActionName,dropper C:\Documents and Settings\User\Application Data\JAVA\JavaSvc.exe creates from the aforementioned BINARY resource,1,log,temporary file C:\DOCUME~1\User\LOCALS~1\Temp\ka4281x3.log then creates C:\Documents and Settings\User\Application Data\JAVA\JavaSvc.exe,log
237,ActionName,"Most Etumbot samples observed by ASERT drop decoy documents (PDFs, Word Documents, and Excel Spreadsheets) written in Traditional Chinese and usually pertaining to Cross-Strait or Taiwanese Government interests",1,writes,"samples observed by ASERT drop decoy documents (PDFs, Word",writes
238,ActionName,C:\DOCUME~1\User\LOCALS~1\Temp\ kb71271.log contains the following registry file,1,send,kb71271.log is created and contains the following registry file,send
239,ActionName,is then deleted kb71271.log,1,send,modify the registry. kb71271.log is then deleted These temp files appear,send
240,ActionName,C:\DOCUME~1\User\LOCALS~1\Temp\ kb71271.log is created,1,log,"previous example, C:\DOCUME~1\User\LOCALS~1\Temp\ kb71271.log is created and contains the following",log
241,ActionName,C:\DOCUME~1\User\LOCALS~1\Temp\ka4281x3.log is created,1,used,"naming scheme. Next, C:\DOCUME~1\User\LOCALS~1\Temp\ka4281x3.log is created filled with contents of",used
242,ActionName,C:\DOCUME~1\User\LOCALS~1\Temp\ka4281x3.log filled with contents of the bait/distraction file,1,submitted,"Next, C:\DOCUME~1\User\LOCALS~1\Temp\ka4281x3.log is created, filled with contents of the",submitted
243,ActionName,C:\DOCUME~1\User\LOCALS~1\Temp\~t3fcj1.doc C:\DOCUME~1\User\LOCALS~1\Temp\ka4281x3.log copied to,1,received,"bait/distraction file, and then copied to C:\DOCUME~1\User\LOCALS~1\Temp\~t3fcj1.doc, which is",received
244,ActionName,The ka4281x3.log file deleted,1,identify,ka4281x3.log file is then deleted Returning to the first,identify
245,ActionName,it save them to a location,1,creates,the user’s keystrokes and save them to a location,creates
246,ActionName,are written both applications to a temporary directory,1,are mounted,"When executed, both applications are written to a temporary directory",are mounted
